Abstract;Introduction;RelatedWork;Discussion;Conclusion
0;0.005952381;0.005494505;0.009774436;0.003027245
0;0.001270648;0.003451251;0.003472222;0.004077472
0.010204082;0.003623188;0.008361204;0.013877551;0.006147541
0;0.004172462;0;0.005008347;0.001146789
0;0.00661746;0.006183746;0.008658009;0.005820722
0.00591716;0;0;0.010940919;0.009592326
0;0.017241379;0.001015228;0.00464499;0.003631961
0.006024096;0.003436426;0.010125557;0.009978425;0.006337136
0.008064516;0.004197272;0.005568293;0.008502598;0.003821656
0;0.003154574;0.004849661;0.005714286;0.006377551
0;0;0.006139154;0.005788712;0.00511509
0;0.003350084;0.005754759;0.007052186;0.001373626
0;0;0;0.003773585;0.001457726
0;0.002325581;0.004694836;0.010144928;0.00748503
0.01010101;0.010835913;0.003355705;0.010080645;0.010526316
0.002624672;0.007802341;0.004484305;0.010166359;0.004552352
0;0;0.006024096;0.006423983;0.00304414
0.014285714;0.009708738;0.00239521;0.006378803;0.009244992
0;0.001984127;0.014634146;0.004291845;0.003189793
0;0.006479482;0.008547009;0.006243996;0
0.012658228;0.006153846;0.006677796;0.006593407;0.009677419
0;0.009451796;0.008797654;0.004830918;0.001623377
0;0.011904762;0;0.010890455;0.008196721
0.005714286;0.002257336;0.002359882;0.003546099;0.00331675
0.01242236;0.005687204;0.002785515;0.002816901;0
0.02;0.00610687;0;0.00330033;0.001669449
0.00729927;0.008483563;0.008498584;0.005479452;0.005093379
0;0.003395586;0.003369272;0.005780347;0.003466205
0;0.003095975;0.003340757;0.003042596;0.007142857
0;0;0.002997752;0.0024108;0.001792115
0;0.004385965;0.006908463;0.002941176;0.005405405
0;0;0.008462623;0.007098121;0.00733945
0;0.004145078;0.004347826;0.003274394;0.009191176
0;0.016317016;0.004115226;0.006896552;0.007393715
0;0.005369128;0.004405286;0.008982036;0.009276438
0.012658228;0.009825328;0.00617284;0.010638298;0.005617978
0;0.001355014;0.002673797;0.000865052;0.003759398
0.00729927;0.004934211;0.002923977;0.005765535;0.005671078
0.011111111;0.00286533;0.006224066;0.008474576;0.007662835
0;0.003588517;0.005879209;0.006310096;0.003861004
0;0.00456621;0;0.006734007;0.007736944
0;0.002347418;0.007894737;0.001316656;0.00776699
0.013333333;0.007017544;0.003286771;0.01344086;0.005964215
0;0.001980198;0.006198347;0.003141361;0
0.007194245;0;0.002941176;0.009478673;0.006012024
0;0;0.002923977;0.001261034;0.002012072
0.005555556;0.002604167;0.002967359;0.002272727;0.006147541
0.012121212;0.012944984;0.005192108;0.006329114;0.006237006
0;0.006896552;0;0.004166667;0
0.021276596;0.004774898;0.00792752;0.008368201;0.002109705
0;0.015576324;0.005454545;0.013793103;0.010615711
0.009345794;0.004966887;0.006535948;0.01754386;0.010683761
0;0.001737619;0.003690037;0.005976096;0.004319654
0;0.006932409;0;0.012725345;0.004357298
0.004444444;0.001988072;0.008417508;0.006825939;0.004366812
0;0.00984252;0.006896552;0.010309278;0.008752735
0;0.006410256;0.002560819;0.002392344;0
0;0.003215434;0.000962464;0.001980198;0.006637168
0;0.004123711;0.005154639;0;0.004424779
0;0.006493506;0.006079027;0.005867561;0.013333333
0.008849558;0;0.003790751;0.0041841;0
0.017647059;0.0125;0.001915709;0.006954103;0.004464286
0.006711409;0.007048458;0.008695652;0.007389163;0
0.008849558;0.008275862;0.005166745;0.003442341;0.004504505
0.01369863;0.007575758;0.017699115;0.007647059;0.011337868
0.011111111;0.000874126;0.004826255;0.013119534;0.006802721
0.00952381;0.013452915;0.00265252;0.006578947;0.011337868
0;0.003514938;0.005747126;0.004761905;0.009195402
0;0.005703422;0.009009009;0.005947955;0.002304147
0.009259259;0.001184133;0.008010681;0.005882353;0.00462963
0;0.007000903;0.019178082;0.012205754;0.006993007
0;0.012658228;0.008196721;0.013745704;0.021028037
0;0.003994674;0.005405405;0.004474273;0.004683841
0;0.007952286;0.004355519;0.011650485;0.002347418
0.014184397;0.0215311;0.004115226;0.013377926;0.011820331
0.016393443;0.002453988;0.010204082;0.006153846;0.009456265
0;0.003257329;0.009271523;0.00678733;0.007142857
0.014814815;0.007952286;0.010660981;0.004187605;0.004807692
0;0.00886382;0.009469697;0.012;0.007246377
0;0.007352941;0;0.013550136;0.00486618
0;0.005905512;0.00713481;0.003841229;0.00245098
0.0078125;0.001686341;0.005434783;0.011709602;0.004950495
0;0;0.003389831;0.004966887;0.01
0;0.002028398;0;0.003768844;0.005012531
0;0.00228833;0;0.00499002;0
0;0.002114165;0;0.000784929;0.002518892
0;0.003787879;0.005128205;0.007853403;0.005037783
0;0.003125;0.003571429;0.002857143;0.002531646
0;0.005291005;0.003460208;0;0.007692308
0.006410256;0.001811594;0.003322259;0.003931848;0
0.006802721;0.003597122;0.006821282;0.011764706;0.007731959
0.005434783;0;0.002304147;0.005055612;0.005167959
0;0.001560062;0.003194888;0.003649635;0
0;0.011824324;0.003664921;0.008902077;0.012919897
0.005154639;0.002898551;0.004555809;0.025641026;0
0.010416667;0.005494505;0.007692308;0.021582734;0.005208333
0;0.002649007;0;0.017529215;0.002610966
0.00591716;0.010244287;0.010085337;0.00408998;0.018276762
0;0.003992016;0.007063572;0.010899183;0.002610966
0.007518797;0.003717472;0.005586592;0.005988024;0.007853403
0;0.003484321;0.010057471;0.006622517;0
0;0.00170068;0.010362694;0.002247191;0.010666667
0.0078125;0.00148368;0.00311042;0.004308024;0.002688172
0;0.006993007;0.001763668;0.007604563;0.005420054
0;0;0.007590133;0.006810443;0
0.005347594;0.006042296;0.007604563;0.003984064;0
0;0.010928962;0.008275261;0.010086455;0.008196721
0;0.01048218;0.00805153;0.01635514;0.005464481
0;0.007067138;0.002375297;0.001953125;0.002754821
