Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.024154589;0.01984127;0.015384615;0.023308271;0.01715439
0;0.008894536;0.008628128;0.022569444;0.003058104
0.010204082;0.010869565;0.008361204;0.011428571;0.008196721
0;0.006954103;0;0.006677796;0.003440367
0.005524862;0.010180708;0.008833922;0.002164502;0.01862631
0;0.019920319;0.003584229;0.006564551;0.01558753
0;0.005747126;0.006091371;0.01061712;0.004842615
0.012048193;0.013745704;0.009720535;0.013214671;0.016476553
0;0.022035677;0.012119227;0.01228153;0.011464968
0.005319149;0.012618297;0.008729389;0.017142857;0.008928571
0;0.007473842;0.007503411;0.011577424;0.002557545
0.004016064;0.003350084;0.013280212;0.009167842;0.009615385
0;0.008230453;0.005524862;0.009433962;0.033527697
0;0.011046512;0.014084507;0.014492754;0.011976048
0.01010101;0.020123839;0.010067114;0.019489247;0.022556391
0.002624672;0.00390117;0.00896861;0.019408503;0.010622155
0;0;0.014267597;0.007494647;0.00456621
0;0.006472492;0.016766467;0.008832188;0.013867488
0.028037383;0.007936508;0.009756098;0;0.004784689
0.006756757;0.01511879;0.007122507;0.013448607;0.016051364
0;0.018461538;0.011686144;0.010989011;0.011290323
0.010752688;0.007561437;0.019061584;0.00805153;0.008116883
0.01;0.011904762;0.007233273;0.014734145;0.01147541
0.011428571;0.009029345;0.014159292;0.017730496;0.008291874
0;0.013270142;0.002785515;0.013380282;0
0;0.007633588;0.014981273;0.01980198;0.003338898
0.00729927;0.015906681;0.014164306;0.015753425;0.013582343
0;0.005093379;0.005390836;0.00867052;0.006932409
0.018518519;0.018575851;0.011135857;0.005070994;0.016071429
0.015625;0.006403415;0.008743442;0.008558341;0.007168459
0.018348624;0.011695906;0.017271157;0.014705882;0.014414414
0;0.008498584;0.014104372;0.009185804;0.011009174
0;0.012435233;0.004347826;0.007858546;0.005514706
0.004854369;0.011655012;0;0.010344828;0.007393715
0.009009009;0.010738255;0.00660793;0.019461078;0.005565863
0.006329114;0.019650655;0.008230453;0.012765957;0.007490637
0.013245033;0.014905149;0.013368984;0.006055363;0.013157895
0.00729927;0.009868421;0.009746589;0.010890455;0.011342155
0;0.042979943;0.01659751;0.013097072;0.019157088
0;0.01076555;0.011223944;0.0078125;0.017374517
0.007042254;0.017351598;0.009404389;0.005611672;0.01934236
0.025641026;0.009389671;0.013157895;0.008558262;0.011650485
0;0.021052632;0.00903862;0.021505376;0.011928429
0.03164557;0.023762376;0.024793388;0.029319372;0.016
0.007194245;0.016666667;0.011764706;0.008688784;0.03006012
0.019047619;0.022522523;0.002923977;0.002522068;0.00804829
0.016666667;0.015625;0.011869436;0.009090909;0.020491803
0;0.009708738;0;0.025316456;0.020790021
0;0.013793103;0.018115942;0.008333333;0.004192872
0.010638298;0.006139154;0.009060023;0.0041841;0.004219409
0.010869565;0.007788162;0.009090909;0.022988506;0.023354565
0.009345794;0.006622517;0;0.029239766;0.006410256
0;0.009556907;0.014760148;0.021912351;0.008639309
0;0.006932409;0.025641026;0.016967126;0.008714597
0;0.007952286;0.013468013;0.021615472;0.013100437
0.008196721;0.00984252;0.017241379;0.015932521;0.004376368
0;0.006410256;0.011523688;0.011961722;0.010940919
0;0.011254019;0.005774783;0.013861386;0.022123894
0;0.01443299;0.012886598;0.022075055;0.011061947
0;0.019480519;0.006079027;0.015088013;0.02
0;0.008665511;0.009855951;0.029288703;0.013363029
0;0.04375;0.017241379;0.004867872;0.011160714
0;0.016740088;0.011180124;0.007389163;0.013483146
0;0.022068966;0.018318459;0.017211704;0.009009009
0;0.015151515;0.008849558;0.021176471;0.020408163
0;0.009615385;0.012548263;0.012390671;0.004535147
0;0.004484305;0.00265252;0.013157895;0.013605442
0.009708738;0.010544815;0.007183908;0.004761905;0.006896552
0.023121387;0.02661597;0.015015015;0.014869888;0.006912442
0.013888889;0.005328597;0.014686248;0.008823529;0.023148148
0;0.009033424;0.01369863;0.013949433;0.016317016
0;0.004219409;0.008196721;0.010309278;0.009345794
0;0.011984021;0;0.012304251;0.011709602
0;0.005964215;0.007758269;0.017475728;0.007042254
0;0.019138756;0.013717421;0.018394649;0.014184397
0.016393443;0.007361963;0.020408163;0.009230769;0.004728132
0;0.008143322;0.017218543;0.020361991;0.033333333
0.014814815;0.023856859;0.029850746;0.016750419;0.002403846
0.010638298;0.012087027;0.020833333;0.008;0.007246377
0;0.007352941;0.012562814;0.01897019;0.01216545
0.007518797;0.019685039;0.011641006;0.020486556;0.019607843
0;0.015177066;0.010869565;0.014051522;0.00990099
0.005988024;0.01734104;0.013559322;0.009933775;0.005
0;0.020283976;0.015050167;0.012562814;0.007518797
0;0.006864989;0;0.002994012;0
0;0.014799154;0.003194888;0.007064364;0.010075567
0.007462687;0.013257576;0.01025641;0.020069808;0.005037783
0;0.025;0.017857143;0.014285714;0.027848101
0.017857143;0.007936508;0.003460208;0;0.002564103
0.006410256;0.018115942;0.007751938;0.005242464;0.002570694
0.020408163;0.021582734;0.008185539;0.006535948;0.005154639
0.02173913;0.016317016;0.012672811;0.014155713;0.023255814
0.008196721;0.009360374;0.012779553;0.00729927;0
0;0.010135135;0.015183246;0.020771513;0.015503876
0;0.005797101;0.01594533;0;0.010362694
0.041666667;0.010989011;0.002564103;0.007194245;0
0.035460993;0.02384106;0.016713092;0.00918197;0.005221932
0;0.014972419;0.011636928;0.011247444;0.010443864
0.009345794;0.015968064;0.008072654;0.027247956;0.018276762
0.007518797;0.020446097;0.009776536;0.023952096;0.015706806
0.010416667;0.015679443;0.018678161;0.006622517;0.02393617
0;0.013605442;0.020725389;0.015730337;0.016
0;0.010385757;0.01399689;0.011847065;0.002688172
0;0.013986014;0.005291005;0.007604563;0.005420054
0;0.008462623;0.013282732;0.010215664;0.013586957
0.010695187;0.013091641;0.012674271;0.023904382;0.013586957
0;0.021857923;0.014155052;0.017291066;0.016393443
0;0.006289308;0.006441224;0.025700935;0.00273224
0.006711409;0.024734982;0.006334125;0.0078125;0.002754821
0;0.007827789;0;0.032967033;0.008310249
0;0.014784946;0.003333333;0.024875622;0.008379888
0.008196721;0.008264463;0.00965251;0.011461318;0.019607843
0;0.012987013;0.006472492;0.010005003;0.005681818
0.010309278;0.014957265;0.01038961;0.01002004;0.011461318
0;0.013793103;0.01743462;0.016985138;0.011461318
0;0.003030303;0.010152284;0.008042895;0.022988506
0.007692308;0.023030303;0.016129032;0.029411765;0.011494253
0;0.007320644;0.009708738;0.01308615;0.005763689
0;0.015202703;0.01322314;0.001709402;0.005780347
0.011363636;0.008264463;0.007263923;0.0125;0.014534884
0.008928571;0.008583691;0.014367816;0.012707722;0.005830904
0.013793103;0.020376176;0.019480519;0.021815009;0.026239067
0;0.01641791;0.003058104;0.017583664;0.00877193
0;0.009922822;0.009404389;0.01240458;0.01754386
0.014285714;0.013953488;0.011627907;0.010830325;0.005847953
0.022900763;0.01754386;0.000976563;0.011049724;0.014662757
0;0.031372549;0.002188184;0.015091342;0.008823529
0.016;0.004944376;0.013867488;0.014925373;0.011764706
0.0078125;0.014361702;0.012684989;0.015719468;0.014705882
0.008547009;0.006493506;0.006507592;0.013782542;0.00591716
0;0.010460251;0.009546539;0.015659955;0.00887574
0.010309278;0.013513514;0.002257336;0.020942408;0.00591716
0;0.00621118;0.021653543;0.003984064;0.00295858
0;0.005464481;0.010899183;0.009831461;0.002967359
0;0.012121212;0.004237288;0.027272727;0.023738872
0.0078125;0.016169154;0.015822785;0.010033445;0.020833333
0;0.012106538;0.022484542;0.01446281;0.018126888
0.006896552;0.008561644;0.020771513;0.022821577;0.021212121
0.010752688;0.013297872;0.044303797;0.019662921;0.012121212
0;0.015625;0.029616725;0.012810248;0.021276596
0;0.005882353;0.008445946;0.00591716;0.009118541
0.02739726;0.018987342;0.004796163;0.012435233;0.006097561
0.063492063;0.016313214;0.016460905;0.016147636;0.036697248
0.015706806;0.016722408;0.010729614;0.016905072;0.003058104
0.015228426;0.019631902;0.003703704;0.015086207;0.003058104
0;0.010164191;0.00982801;0.007352941;0.006116208
0.02;0.012158055;0.008012821;0.012205754;0.021472393
0.023622047;0.014778325;0.015209125;0.008416623;0.015384615
0.015037594;0.028436019;0.015345269;0.016071429;0.027692308
0;0.013059701;0.012269939;0.003898635;0.009287926
0;0.012158055;0.01037037;0;0.00619195
0.01025641;0.006674757;0.010752688;0.008440914;0.015576324
0;0.015463918;0.015585242;0.012738854;0.00623053
0.006578947;0.015466984;0.01594533;0.008880995;0.009375
0;0.017107309;0.013513514;0.019774011;0.012539185
0.011299435;0.015695067;0.016224189;0.00997151;0.012578616
0;0.016806723;0.007246377;0.009090909;0.009433962
0.007692308;0.010574018;0.015567766;0.010330579;0.012578616
0;0.008379888;0.009153318;0.008455882;0.003154574
0;0.006872852;0.011235955;0.013464991;0.009463722
0.023076923;0.033519553;0.023904382;0.012879485;0.022082019
0.024096386;0.009324009;0.006696429;0.005215124;0.009463722
0.006535948;0.022099448;0.014492754;0.01124498;0.015822785
0;0.01039501;0.009446694;0.004237288;0.006329114
0;0.012903226;0.011713031;0.012356575;0.009584665
0.007874016;0.014897579;0.010416667;0.021538462;0.019169329
0;0.014992504;0.012526096;0.012126112;0.016129032
0.008064516;0.012931034;0.00952381;0.024096386;0.016129032
0.014285714;0.027687296;0.020449898;0.01120797;0.022653722
0.008064516;0.018786127;0.019769357;0.010447761;0.016233766
0.00990099;0.004207574;0.010928962;0.007055805;0.003257329
0.008474576;0.012448133;0.019313305;0.014379868;0
0.008403361;0.006550218;0.008136697;0.015789474;0.013114754
0;0.022452504;0.012631579;0.013071895;0
0.01875;0.015345269;0.018320611;0.015021459;0.009868421
0.021428571;0.013333333;0.008237232;0.008733624;0.009868421
0.004385965;0.011933174;0.023989899;0.019817677;0.01980198
0;0.019257221;0.012626263;0.011119936;0.00990099
0.016806723;0.008018328;0.005555556;0.033112583;0.00660066
0;0.006263048;0.001584786;0.003649635;0.003311258
0.016949153;0.010729614;0.011166253;0.008815427;0.009966777
0.048543689;0.013100437;0.021653543;0.008363202;0.003322259
0.013888889;0.008474576;0.010189229;0.012077295;0.006644518
0;0.012468828;0.006726457;0.007407407;0.01
0;0.017699115;0.025588536;0.015267176;0.010033445
0;0.015904573;0.016260163;0.015895954;0.006711409
0.012820513;0.012640449;0.004587156;0.006950478;0.013468013
0.018867925;0.015345269;0.012048193;0.026156942;0.006734007
0;0.010752688;0.002610966;0.006785411;0.010135135
0;0.0171875;0.009408602;0.010341262;0.010135135
0.02247191;0.00811359;0.003952569;0.007042254;0.006756757
0.04040404;0.019130435;0.013906448;0.009345794;0.016891892
0;0.010504202;0.012594458;0.004032258;0.030405405
0;0.017045455;0.003533569;0.026109661;0.016949153
0.028037383;0.005899705;0;0.007719715;0.010204082
0.008333333;0.021390374;0.007067138;0.001805054;0.027303754
0.03030303;0.009360374;0.006578947;0.008849558;0.010238908
0.00990099;0.014450867;0.008639309;0.010220126;0.003424658
0.005988024;0.03125;0.009463722;0.018191546;0.010309278
0;0.016949153;0;0.012820513;0.003436426
0;0.014734774;0.016100805;0.0032;0.010309278
0;0.012;0;0.015280136;0.003436426
0;0.008064516;0.011299435;0.005673759;0.003448276
0.007518797;0.01509434;0.01505174;0.012437811;0.013793103
0.014925373;0.00308642;0.006622517;0.003636364;0.006896552
0;0.00617284;0.005797101;0.013211009;0.006920415
0.014388489;0.015686275;0.015789474;0.006379585;0.01384083
0.025423729;0.019790454;0.018072289;0.007042254;0.034602076
0;0.002074689;0.008571429;0.007332722;0.006944444
0;0.015009381;0.021226415;0.024439919;0.006944444
0;0.009493671;0.015584416;0.010822511;0
0;0.020504732;0.018939394;0.005235602;0.006968641
0;0.008086253;0.003731343;0.007393715;0.006968641
0.006896552;0.012302285;0.006666667;0.010526316;0.006968641
0;0.004210526;0.010165184;0.00678733;0.003508772
0.033333333;0.01510574;0.009287926;0.018450185;0.010526316
0.010526316;0.010840108;0.00877193;0.005112474;0.021126761
0.006711409;0.007692308;0.017834395;0.031446541;0.017605634
0;0.010575793;0.005263158;0.006430868;0.01056338
0.006666667;0.024720424;0.017760618;0.015405224;0.021201413
0.009009009;0.00990099;0.011029412;0;0.003533569
0.010204082;0.013182674;0.011235955;0.015166835;0.017730496
0.029850746;0.006141249;0.008595989;0.003076923;0.010638298
0.018181818;0.014834794;0.009363296;0.008364312;0.017857143
0.018691589;0.011278195;0.009310987;0.006163328;0.007142857
0.013157895;0.007042254;0.020576132;0.012671595;0.003584229
0;0.017994859;0.01417004;0.029082774;0.003584229
0;0.014312977;0.009756098;0.011198946;0.010791367
0;0.006060606;0;0.011952191;0.010791367
0.018518519;0.012211669;0.002506266;0.013412817;0.007220217
0;0.027777778;0.008883249;0.012515645;0
0.012048193;0.011396011;0.002949853;0.012121212;0.00729927
0;0.017857143;0.010600707;0.011764706;0
0;0.010928962;0;0.013368984;0.010989011
0.009433962;0.010845987;0.014814815;0.017699115;0.021978022
0.018691589;0.0256917;0;0.01424979;0.033088235
0.009615385;0.009578544;0.00931677;0.01509434;0
0;0.011059908;0.01179941;0.009020619;0.018382353
0.00625;0;0.007575758;0.008152174;0.011029412
0.012903226;0.022099448;0.01048218;0.003355705;0
