Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.024154589;0.012896825;0.010989011;0.014285714;0.020181635
0;0.008894536;0.012079379;0.003472222;0.00509684
0.010204082;0.003623188;0.006688963;0.013061224;0.007172131
0.00877193;0.011126565;0.020833333;0.015859766;0.010321101
0.005524862;0.011198778;0.009717314;0.017316017;0.010477299
0;0.003984064;0.003584229;0.01750547;0.005995204
0;0.005747126;0.004060914;0.00995355;0.004842615
0.012048193;0.016323024;0.008505468;0.007820928;0.007604563
0;0.004197272;0.004258107;0.01228153;0.002547771
0.015957447;0.007570978;0.009214355;0.020952381;0.010204082
0;0.00896861;0.008185539;0.012301013;0.016624041
0.008032129;0.010050251;0.006197432;0.006346968;0.005494505
0;0.004115226;0.011049724;0.018867925;0.004373178
0.00862069;0.011046512;0.004694836;0.017391304;0.011976048
0;0.00619195;0.013422819;0.015456989;0.018045113
0.007874016;0.00390117;0.006726457;0.006469501;0.009104704
0;0.002645503;0.016804058;0.016059957;0.01826484
0.007142857;0.025889968;0.003592814;0.012757605;0.012326656
0.009345794;0.007936508;0.007317073;0.010729614;0.007974482
0.006756757;0.025917927;0.012820513;0.010086455;0.024077047
0.012658228;0.016153846;0.021702838;0.019466248;0.011290323
0.010752688;0.011342155;0.019061584;0.003220612;0.00974026
0.02;0.023809524;0.003616637;0.01153107;0.016393443
0.005714286;0.006772009;0.007669617;0.005910165;0.016583748
0.00621118;0.004739336;0.002785515;0.007746479;0
0;0.007633588;0.002496879;0;0.005008347
0.01459854;0.016967126;0.009915014;0.007534247;0.008488964
0;0.010186757;0.016846361;0.010115607;0.006932409
0;0.015479876;0.013363029;0.011156187;0.005357143
0.010416667;0.009605123;0.012490632;0.006629701;0.005376344
0.009174312;0.007309942;0.017271157;0.013235294;0.016216216
0;0.019830028;0.018335684;0.011691023;0.014678899
0;0.003108808;0.004347826;0.011787819;0.005514706
0.014563107;0.009324009;0;0.012068966;0.014787431
0.009009009;0.002684564;0.011013216;0.01497006;0.005565863
0;0.015283843;0.002057613;0.010638298;0.009363296
0.01986755;0.013550136;0.00802139;0.00432526;0.011278195
0.00729927;0.014802632;0.00877193;0.009609225;0.007561437
0.011111111;0.00286533;0.002074689;0.010015408;0.013409962
0.005263158;0.011961722;0.011758418;0.004807692;0.00965251
0.035211268;0.016438356;0.003134796;0.019079686;0.011605416
0;0.004694836;0.007894737;0.007899934;0.015533981
0.006666667;0;0.005751849;0.014784946;0.013916501
0.018987342;0.015841584;0.006198347;0.013612565;0.012
0;0.011904762;0.014705882;0.011058452;0.016032064
0.038095238;0.013513514;0.032163743;0.022698613;0.036217304
0.016666667;0.0078125;0.011869436;0.015909091;0.014344262
0.018181818;0;0.008307373;0.006329114;0.020790021
0.014492754;0.020689655;0;0.004166667;0.002096436
0.010638298;0.012278308;0.018120045;0.029288703;0.016877637
0.02173913;0.014018692;0.012727273;0.020689655;0.010615711
0.018691589;0.008278146;0;0;0.002136752
0;0.005212858;0.009840098;0.007968127;0.006479482
0;0.005199307;0.005128205;0.009544008;0.008714597
0.008888889;0.009940358;0.011784512;0.006825939;0.010917031
0.024590164;0.007874016;0.017241379;0.0131209;0.013129103
0.024390244;0.025641026;0.008962868;0.019138756;0.013129103
0.00625;0;0.014436959;0;0.022123894
0.010416667;0.006185567;0.010309278;0.017660044;0.017699115
0;0.010822511;0.003039514;0.009220453;0.017777778
0.03539823;0.01559792;0.005307051;0.006276151;0.011135857
0;0.01875;0.013409962;0.007649513;0.011160714
0.033557047;0.024669604;0.009937888;0.004926108;0.008988764
0.008849558;0.008275862;0.016439643;0.003442341;0.015765766
0.01369863;0.015151515;0.013274336;0.007647059;0.006802721
0.014814815;0.009615385;0.007722008;0.013848397;0.020408163
0.019047619;0.00896861;0.013262599;0.023026316;0.020408163
0;0.008787346;0.010057471;0.00952381;0.004597701
0.005780347;0.003802281;0.006006006;0.011895911;0.00921659
0.013888889;0.010065127;0.014686248;0.004901961;0.009259259
0.016528926;0.009033424;0.005479452;0.012205754;0.009324009
0.013513514;0.016877637;0.013114754;0.027491409;0.021028037
0.017167382;0.010652463;0;0.012304251;0.016393443
0;0.009940358;0.010480468;0.013592233;0.011737089
0.021276596;0.014354067;0.008230453;0.011705686;0.014184397
0;0.012269939;0.005102041;0.006153846;0.011820331
0.007092199;0.01465798;0.01589404;0.013574661;0.004761905
0.02962963;0.017892644;0.025586354;0.007537688;0.012019231
0.010638298;0.014504432;0.020833333;0.044;0.014492754
0.038461538;0.014705882;0.007537688;0.005420054;0.0243309
0.030075188;0.005905512;0.009387908;0.008962868;0.014705882
0.0078125;0.003372681;0.010869565;0.004683841;0.01980198
0.005988024;0.011560694;0.011864407;0.011589404;0.0125
0;0.006085193;0.006688963;0.012562814;0.012531328
0.043956044;0.011441648;0.016949153;0.005988024;0
0;0.012684989;0.009584665;0.01255887;0.012594458
0.014925373;0.03219697;0.020512821;0.020942408;0.027707809
0;0.003125;0.010714286;0.005714286;0.015189873
0;0.002645503;0;0;0.002564103
0.012820513;0.005434783;0.021040975;0.002621232;0.002570694
0;0;0.009549795;0.009150327;0.015463918
0.005434783;0.004662005;0.003456221;0.012133468;0.010335917
0.008196721;0.007800312;0.009584665;0.010948905;0.018087855
0;0.008445946;0.007853403;0.017804154;0.010335917
0.030927835;0.007246377;0.009111617;0.017094017;0.010362694
0;0.010989011;0.01025641;0.021582734;0.0078125
0.007092199;0.006622517;0.005571031;0.012520868;0.010443864
0.023668639;0.010244287;0.012412723;0.006134969;0.007832898
0.009345794;0.001996008;0.012108981;0.008174387;0.018276762
0.007518797;0.005576208;0.001396648;0;0.007853403
0;0.013937282;0.00862069;0.026490066;0.013297872
0;0.006802721;0.002590674;0.013483146;0.013333333
0.0078125;0.022255193;0.01399689;0.009693053;0.008064516
0.01459854;0.006993007;0.005291005;0.005703422;0.024390244
0.008403361;0.004231312;0.015180266;0.011350738;0.019021739
0.016042781;0.011077543;0.010139417;0.015936255;0.010869565
0;0;0.012848432;0.014409222;0.016393443
0.011235955;0.008385744;0.004830918;0.009345794;0.005464481
0.006711409;0.014134276;0.013460016;0.005859375;0
0.006756757;0.007827789;0;0.007326007;0.008310249
0.017857143;0.02016129;0.006666667;0.014925373;0.016759777
0;0.011019284;0.007722008;0.008595989;0.008403361
0.018518519;0.01038961;0.012944984;0.005002501;0.019886364
0;0.006410256;0.002597403;0.009018036;0.008595989
0;0.006896552;0.00373599;0.016985138;0.008595989
0.027272727;0.012121212;0.015228426;0.008042895;0.034482759
0.023076923;0.014545455;0.008064516;0.011029412;0.011494253
0.007692308;0.007320644;0.00788835;0.010905125;0.002881844
0.031746032;0.015202703;0.014876033;0.013675214;0.011560694
0.017045455;0.011019284;0.007263923;0.014285714;0.020348837
0.008928571;0.005722461;0.005747126;0.00684262;0.005830904
0.006896552;0.009404389;0.008658009;0.004363002;0.023323615
0.006060606;0.011940299;0.009174312;0.008508225;0.01754386
0.007575758;0.011025358;0.006269592;0.005725191;0.00877193
0.007142857;0.014883721;0.009302326;0.009025271;0.011695906
0.015267176;0.010964912;0.006835938;0.00789266;0.014662757
0;0.011764706;0.004376368;0.005559968;0.002941176
0;0.008652658;0.003081664;0.007462687;0.014705882
0.0078125;0.010106383;0.010570825;0.008464329;0.017647059
0.008547009;0.004329004;0.004338395;0.006125574;0.00887574
0.008064516;0.016736402;0.007159905;0.013422819;0.014792899
0.010309278;0.013513514;0.002257336;0.005235602;0.00887574
0.023809524;0.00621118;0.017716535;0.003984064;0.00887574
0;0.005464481;0.008174387;0.014044944;0.008902077
0.011764706;0.008080808;0.004237288;0.018181818;0.014836795
