Abstract;Introduction;RelatedWork;Discussion;Conclusion
0;0.000992063;0;0.00075188;0.002018163
0;0.001270648;0;0;0
0;0.003623188;0.001672241;0.006530612;0.00102459
0;0.004172462;0;0.002504174;0.002293578
0;0.001781624;0;0;0
0.00591716;0;0.007168459;0.002188184;0.001199041
0;0;0.001015228;0.00066357;0
0;0.000859107;0.001620089;0.000269687;0
0;0;0;0.001889466;0
0;0.00126183;0.000969932;0.001904762;0
0;0.001494768;0.000682128;0.000723589;0.002557545
0;0.003350084;0.001770695;0.001410437;0.001373626
0;0;0;0.001886792;0.001457726
0;0.002325581;0.002347418;0.001449275;0.002994012
0.01010101;0.004643963;0;0.002688172;0.003007519
0;0.00260078;0;0;0.001517451
0;0;0.001268231;0.001070664;0
0;0;0;0;0
0;0;0;0;0.001594896
0;0;0;0.002401537;0
0;0.000769231;0;0.000313972;0.001612903
0;0.001890359;0;0.001610306;0.001623377
0;0;0.001808318;0.001921845;0.003278689
0;0.001128668;0.001179941;0;0.001658375
0;0.001895735;0.002785515;0.002112676;0
0.01;0.003053435;0;0.00330033;0.001669449
0;0;0;0.004794521;0.001697793
0;0.003395586;0.004043127;0;0.005199307
0;0.003095975;0;0.005070994;0.001785714
0;0;0.003247564;0.00084378;0
0;0.001461988;0;0.001470588;0
0;0;0;0;0.001834862
0;0.001036269;0.004347826;0.001309758;0.003676471
0;0;0;0;0.001848429
0;0;0;0.001497006;0.003710575
0;0.002183406;0;0.00212766;0.003745318
0;0.00203252;0;0.000865052;0
0.00729927;0;0.001949318;0.00128123;0
0;0.00286533;0.002074689;0.000770416;0
0;0.001196172;0.000534474;0.000600962;0
0.014084507;0.001826484;0;0.003367003;0.007736944
0;0.002347418;0;0.005924951;0.001941748
0;0;0;0.00672043;0.003976143
0;0;0.002066116;0.004188482;0
0;0;0;0.002369668;0
0;0;0;0;0
0.005555556;0;0;0.002272727;0.00204918
0;0.003236246;0.001038422;0;0.004158004
0;0;0;0.002083333;0
0;0.002728513;0.001132503;0.0041841;0
0;0.001557632;0.003636364;0.004597701;0
0;0;0;0;0
0;0.003475239;0.001230012;0;0.002159827
0;0;0;0;0
0;0;0;0.004550626;0
0;0.001968504;0.003448276;0.002811621;0.002188184
0;0.002136752;0.003841229;0.002392344;0
0;0.001607717;0.001924928;0;0
0;0.006185567;0.005154639;0.006622517;0
0.008474576;0;0.003039514;0;0.002222222
0;0.001733102;0;0.00209205;0
0;0;0.001915709;0.002086231;0
0;0;0;0;0
0;0;0.00234852;0.00172117;0.002252252
0;0.003787879;0.004424779;0.001764706;0.002267574
0;0.000874126;0.000965251;0.001457726;0
0;0;0;0;0.002267574
0;0;0;0;0
0;0;0;0.011895911;0
0.00462963;0.001184133;0;0.001960784;0
0;0.001129178;0.005479452;0.001743679;0.002331002
0.006756757;0;0;0;0
0;0.005326232;0;0.002237136;0.004683841
0;0.003976143;0.00204165;0.003883495;0.004694836
0;0;0.001371742;0;0
0;0;0;0;0
0;0;0;0;0.002380952
0;0.001988072;0;0.000837521;0
0;0.002417405;0.005681818;0.008;0.004830918
0;0.003676471;0;0.002710027;0
0;0;0.002253098;0.002560819;0.00245098
0;0;0;0;0
0;0.005780347;0;0;0.0025
0;0.012170385;0.001672241;0.002512563;0.005012531
0;0.00228833;0;0.002994012;0.020100503
0;0;0;0.001569859;0.005037783
0;0;0;0;0
0.014492754;0;0.003571429;0;0.005063291
0;0;0;0;0
0;0;0;0.001310616;0
0;0.003597122;0.004092769;0.003921569;0.007731959
0;0;0.001152074;0;0.002583979
0.008196721;0.004680187;0;0;0.002583979
0;0;0.00104712;0;0
0;0.001449275;0.002277904;0;0.002590674
0;0.003663004;0.005128205;0;0
0;0;0;0.002504174;0
0.00591716;0.001576044;0.004654771;0.00204499;0.002610966
0;0;0.003027245;0.010899183;0
0;0;0;0.002994012;0.005235602
0;0.00174216;0.001436782;0;0
0;0.00170068;0.005181347;0.002247191;0
0.0078125;0.00148368;0.00155521;0.001077006;0
0;0;0;0;0
0;0;0;0.001135074;0
0;0.001007049;0.001267427;0;0
0;0.005464481;0.00108885;0.001440922;0
0.005617978;0;0.001610306;0;0
0;0.007067138;0.002375297;0;0.002754821
0;0.001956947;0;0;0
0;0.001344086;0;0.002487562;0
0;0.002754821;0;0;0
0;0;0;0.00050025;0
0;0;0;0;0
0;0;0.00249066;0.002123142;0
0.009090909;0;0.002538071;0;0.002873563
0;0.002424242;0;0;0
0.007692308;0.002928258;0.003033981;0;0
0;0.005067568;0;0.005128205;0
0.005681818;0;0.002421308;0.003571429;0
0.004464286;0.001430615;0;0.002932551;0
0;0.007836991;0.001082251;0.002617801;0.002915452
0;0;0.003058104;0;0
0.007575758;0;0;0.002862595;0
0;0.002790698;0;0.001805054;0
0.003816794;0.004385965;0.00390625;0.002367798;0.008797654
0;0;0;0.001588562;0
0;0.001236094;0.001540832;0.001658375;0.002941176
0;0.00212766;0;0.00241838;0
0;0.004329004;0.006507592;0.001531394;0
0;0;0;0;0
0;0;0.004514673;0;0.00295858
0;0;0;0;0
0;0;0.001362398;0.002808989;0
0;0.002020202;0;0;0
0;0.001243781;0.004746835;0;0
0;0;0.001124227;0;0
0;0;0.00148368;0;0.003030303
0;0;0;0.002808989;0
0;0;0.003484321;0.000800641;0
0;0.002941176;0.003378378;0;0
0.01369863;0.003164557;0;0;0.00304878
0;0.001631321;0;0.001153403;0
0;0.001672241;0.002145923;0.00130039;0
0;0.001226994;0.001851852;0.004310345;0.003058104
0;0.002345582;0.000614251;0.007352941;0
0.006666667;0;0;0;0
0;0;0;0;0
0;0.001579779;0.002557545;0.002678571;0
0;0.001865672;0;0.001949318;0
0;0.001519757;0;0;0
0;0.000606796;0;0.000496524;0
0;0.00128866;0.001272265;0;0.003115265
0.006578947;0.001784652;0.002277904;0.001776199;0
0;0.00155521;0;0.002824859;0
0;0.001121076;0.002949853;0.001424501;0
0;0.00210084;0.003623188;0.001818182;0.003144654
0;0;0;0;0
0;0.005586592;0.00228833;0.003676471;0
0.006024096;0.001718213;0.001872659;0;0
0;0;0.000996016;0;0
0;0.002331002;0;0;0
0;0.001841621;0.002898551;0.006425703;0
0;0;0.001349528;0;0
0;0;0.001464129;0.000882613;0
0;0;0;0;0
0.009345794;0;0.004175365;0.001616815;0
0;0;0;0;0
0.007142857;0;0;0.001867995;0.006472492
0.008064516;0;0.004942339;0;0
0;0;0.001821494;0.000641437;0
0;0.004149378;0;0;0
0;0;0.00081367;0;0
0;0.001727116;0;0.006535948;0.003278689
0;0.003836317;0;0.002145923;0
0.014285714;0;0;0;0.003289474
0;0.00159109;0;0.001189061;0
0;0.001375516;0;0.001588562;0
0;0.001145475;0.001388889;0.006622517;0
0;0.002087683;0.003169572;0;0
0;0;0;0.001101928;0
0;0;0;0;0.003322259
0;0;0;0;0
0;0.002493766;0.004484305;0;0
0;0;0.001023541;0;0
0;0.001988072;0;0.002890173;0
0;0;0.003058104;0.00086881;0
0;0.004092072;0;0;0
0;0;0;0.000848176;0
0;0;0.001344086;0.004136505;0
0.011235955;0;0;0;0
0.005050505;0.003478261;0.001264223;0;0
0;0.00210084;0;0;0.003378378
0;0;0;0.002610966;0
0;0;0;0.002375297;0
0;0;0;0;0
0.007575758;0;0.001315789;0;0
0;0.002890173;0;0.002358491;0
0;0.001157407;0.001577287;0.002675227;0
0;0;0;0.002849003;0
0;0;0.000350018;0;0
0;0;0;0.001697793;0.003436426
0;0;0;0.005673759;0.006896552
0;0.001886792;0.001881468;0.002487562;0
0;0;0;0;0.003448276
0.005882353;0.002057613;0.002898551;0.001100917;0.003460208
0;0;0;0.002392344;0
0;0;0;0;0
0;0;0.000952381;0.00091659;0
0;0;0;0.00610998;0
0;0;0.005194805;0;0
0;0;0;0.002617801;0
0;0.002695418;0;0;0
0;0.003514938;0;0;0
0.012048193;0.004210526;0.007623888;0.003016591;0.007017544
0;0.003021148;0;0.002460025;0
0;0;0.002192982;0;0
0;0.002564103;0.002547771;0;0.003521127
0;0.001175088;0.002631579;0;0
0;0.001765745;0.003088803;0.000669792;0
0;0;0;0;0
0.020408163;0.001883239;0.001605136;0.002022245;0
0;0;0;0.003076923;0
0;0.003371544;0.001872659;0;0
0;0;0.003724395;0;0
0;0.002347418;0;0;0
0;0.001285347;0.002024291;0;0
0;0.001908397;0.001626016;0;0
0;0.001515152;0;0.002988048;0
0.009259259;0;0;0.001490313;0
0;0;0.001269036;0.001251564;0
0;0.002849003;0.005899705;0.001212121;0.003649635
0;0;0;0;0
0;0;0;0;0
0.009433962;0;0;0;0
0;0;0;0.003352892;0.003676471
0;0.001915709;0;0.001257862;0
0;0.001382488;0.000589971;0;0
0;0;0;0;0.003676471
0.006451613;0.002762431;0;0;0
0;0.001040583;0.003021148;0;0
0;0;0;0.002026342;0
0;0;0.001792115;0.004667445;0
0;0;0.00174216;0;0
0;0.003067485;0;0;0
0;0;0;0;0.003703704
0;0.003294893;0.001718213;0.00117096;0
0;0;0;0;0
0;0;0;0.001607717;0
0;0;0;0.000988142;0.003759398
0;0.001169591;0;0;0
0.027777778;0.005172414;0.001338688;0.003115265;0.003759398
0;0;0;0;0
0;0;0;0.002178649;0
0.008333333;0.004615385;0;0;0
0.007633588;0.001430615;0;0.001589825;0.003787879
0;0.002164502;0;0.00127551;0
0.007042254;0.001615509;0;0.00178731;0
0;0;0.001162791;0;0
0;0;0;0.000874126;0
0;0.002114165;0;0.001692047;0
0;0;0;0;0.003875969
0;0;0;0;0
0;0.003378378;0;0.001443001;0
0;0.00110538;0;0;0.003891051
0;0;0.001547988;0;0
0;0;0;0.002229654;0
0;0;0.000886525;0;0
0;0;0;0.003067485;0
0;0.001658375;0;0;0
0;0.002096436;0;0;0.003921569
0;0;0;0.000971817;0.007874016
0;0;0.00180018;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0.005434783;0;0;0;0
0;0.001715266;0;0;0
0;0;0.003663004;0;0.007968127
0;0.002528445;0.001011122;0.002398082;0
0;0;0;0;0
0;0.004301075;0;0;0
0;0;0.002192982;0.003929273;0
0;0;0;0;0
0;0.001602564;0;0;0
0;0.001930502;0;0.003508772;0.004032258
0;0.000489237;0.001687479;0.001757469;0
0;0.003731343;0.003205128;0;0
0;0.003241491;0;0.00255102;0
0;0.00136612;0;0.026785714;0.004048583
0;0;0;0.001436782;0
0;0.00390625;0;0;0
0.008;0.003710575;0;0.002617801;0
0;0.004158004;0;0;0
0.007692308;0.006259781;0;0;0.008163265
0;0.001712329;0.005291005;0.000957854;0
0;0;0;0.00952381;0
0;0;0;0;0.004098361
0;0;0.00660066;0.002;0
0;0;0;0;0
0;0.001883239;0.003327787;0;0
0;0;0;0;0.008230453
0;0;0;0;0
0;0.000471921;0;0;0
0;0.009345794;0.000860585;0.008816121;0
0;0;0.006521739;0;0
0;0;0.003929273;0.002758621;0
0;0;0;0;0
0;0.001132503;0;0;0
0;0.001385042;0;0;0
0;0;0;0.001461988;0
0;0.000902527;0.002037179;0.001333926;0.004201681
0;0.000972763;0;0.003093581;0.008403361
0.006993007;0;0.002849003;0.002277904;0.004201681
0;0;0;0.001841621;0
0;0;0.000759878;0.000819672;0
0;0;0.001643385;0;0
0;0;0;0;0
0;0.002894356;0;0;0.004219409
0;0;0;0;0
0.007633588;0;0;0.003215434;0.004237288
0;0;0.001644737;0;0
0;0.001494768;0;0.000672495;0
0;0;0;0.001913876;0
0;0;0.001438849;0.00244798;0
0;0.001655629;0;0;0
0;0;0;0.003717472;0
0;0.001263424;0;0;0
0.016949153;0.009174312;0;0.003745318;0
0;0;0.000814332;0.011331445;0.004291845
0;0;0;0;0
0;0.000952381;0;0.002475248;0
0;0.000567215;0.000505051;0.000575705;0
0;0;0.001172333;0.002409639;0
0.015625;0;0.003816794;0.004761905;0
0;0.004081633;0.002421308;0.002466091;0
0;0.007326007;0;0.007886435;0
0.008695652;0;0.002358491;0.000914077;0
0;0.002857143;0;0.001196172;0
0;0.001798561;0.005540166;0;0
0;0;0;0.002932551;0
0;0;0;0;0
0;0;0.001150748;0.00128866;0
0;0;0;0;0.004424779
0;0.000874126;0.002427184;0;0.004424779
0;0;0;0;0
0;0.002081165;0;0;0
0;0;0.001138952;0;0
0;0;0.001082251;0;0
0;0.001964637;0;0.00099108;0.004464286
0;0;0;0.000445434;0
0;0;0.004784689;0;0
0;0.001828154;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0.003496503;0
0;0;0;0;0
0;0;0;0;0
0;0.000994036;0.008077544;0.001715266;0.004545455
0;0;0.002840909;0;0
0;0;0.003154574;0;0
0;0.00155521;0.001904762;0.000835073;0
0;0;0;0.001182732;0
0;0.001470588;0.007800312;0.003342246;0.00456621
0;0;0;0;0
0;0;0;0;0.01369863
0;0.00295858;0;0;0
0;0;0;0;0
0;0;0;0;0.004587156
0;0.004054054;0.001074114;0.001718213;0
0;0;0.004694836;0.001302083;0
0;0;0;0;0
0;0.001579779;0;0;0
0;0;0;0.001666667;0
0;0.003484321;0;0.000527426;0
0;0.002;0.001508296;0.003036437;0
0;0.002752925;0.004187605;0.005760369;0.009302326
0;0;0.004032258;0.002680965;0
0;0.005509642;0.001579779;0.00198939;0.004672897
0;0;0;0;0
0.005617978;0.004094166;0;0.010118044;0
0;0;0.002159827;0;0
0;0;0;0;0
0.010309278;0.001455604;0.001646768;0.001212121;0
0;0.001038422;0;0;0
0;0;0;0;0
0;0.001893939;0;0;0
0;0;0.002008032;0;0
0;0.005328597;0;0.001670379;0
0;0;0.003095975;0;0
0;0;0.000420875;0;0
0;0;0;0;0
0;0.003344482;0.000675676;0.00255102;0
0;0.001136364;0.001572327;0;0
0;0.001658375;0;0.005307856;0
0;0.001319261;0.001689189;0;0.004739336
0;0;0;0.00304878;0
0;0;0.002016129;0.002019182;0
0;0.002827521;0.004231312;0;0
0;0;0;0.004201681;0
0;0.004830918;0.000854701;0;0
0;0.002610966;0;0;0
0;0;0;0;0
0;0;0;0.001446132;0.004807692
0;0.001193317;0;0;0
0;0;0.002583979;0.001715266;0
0;0.002185792;0.001879699;0;0
0;0;0.002466091;0.004201681;0
0.007352941;0.001618123;0;0;0
0;0.001558846;0.003745318;0.001481481;0
0;0;0;0;0
0;0.001733102;0;0.001686341;0.004926108
0.009259259;0.005714286;0;0.002184996;0
0;0;0.001236094;0;0
0;0.001538462;0;0.002325581;0
0;0;0;0;0
0;0.001926782;0;0;0.004975124
0.003521127;0;0.000977517;0.001919386;0
0.009090909;0;0.003739316;0;0
0.007936508;0.00297619;0;0;0
0.005747126;0.001526718;0;0;0.005
0;0;0.001730104;0;0
0.008547009;0.001923077;0.002928258;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0.001102131;0.001117318;0
0;0;0;0.001592357;0
0.00591716;0.002197802;0.00143472;0;0.005050505
0;0;0.000670691;0.00096432;0
0;0.002898551;0;0;0
0;0;0.002080444;0.001552795;0
0;0.003490401;0;0;0
0;0;0;0;0.005050505
0;0;0;0.003610108;0
0;0;0;0.001189061;0
0;0.002262443;0;0.00125;0
0;0.003267974;0.001926782;0;0
0.004878049;0;0;0.004672897;0
0;0;0;0;0
0.005952381;0;0.001736111;0.003724395;0
0;0;0;0;0
0.015873016;0;0;0;0.005102041
0;0;0.001745201;0;0
0;0.001445087;0;0;0
0;0.005145798;0;0;0
0;0.001945525;0;0;0
0;0.003663004;0.003174603;0.00094162;0
0;0;0.001960784;0.001164144;0
0;0;0.004098361;0;0
0.00990099;0.002364066;0;0;0
0;0;0;0;0
0;0.005226481;0.002967359;0.003294893;0
0;0.004201681;0.002242152;0;0
0;0;0.003623188;0;0
0.007633588;0.002808989;0.008982036;0;0.010309278
0;0;0;0.002123142;0
0;0.002949853;0;0.005025126;0
0;0;0;0.001647446;0
0;0.001593625;0;0;0
0;0.002148228;0;0;0
0;0.00122399;0;0;0
0;0.000880282;0.004807692;0;0
0;0;0;0.002493766;0
0;0.001642036;0.00245098;0;0
0;0;0;0.003333333;0
0;0;0.001631321;0.001323919;0
0;0.001152074;0;0.00115942;0.005319149
0;0;0.004149378;0;0.005319149
0;0;0.001338091;0;0.005347594
0;0.001344086;0.002638522;0.003988036;0
0;0;0.001140251;0;0
0;0.001865672;0.001642036;0.000965251;0.005376344
0;0;0;0;0
0;0;0;0;0
0;0;0.002932551;0;0.005376344
0;0;0;0;0
0;0;0;0;0.005376344
0;0;0;0;0.005376344
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0.002285714;0
0;0;0;0.001655629;0
0;0;0;0;0
0;0;0;0;0
0;0.001257862;0;0.005494505;0
0;0;0;0.000640615;0
0;0;0.00194742;0.001028807;0.005434783
0.009615385;0.001398601;0;0;0
0;0.00462963;0;0;0.005434783
0;0.00750469;0.002197802;0.000712251;0
0;0;0;0;0
0;0.003952569;0;0;0
0;0;0.003015075;0.001567398;0
0;0;0.001455604;0;0.005494505
0;0.012626263;0;0;0
0;0.001564945;0;0;0
0;0;0;0;0
0;0;0.00209205;0;0
0;0;0;0.003752345;0
0;0.001712329;0;0;0
0.008547009;0;0.001157407;0;0
0;0;0;0;0.005586592
0;0;0;0;0
0;0;0.003125;0.000865801;0
0;0;0;0;0
0.005649718;0.004319654;0.000501253;0.001251564;0.005617978
0;0.000653595;0;0.001298701;0
0;0.004966887;0.001550388;0.001367989;0
0;0;0.000905797;0;0
0;0.001457726;0;0;0
0;0;0;0.000860585;0
0.011363636;0.002617801;0.001901141;0.001420455;0
0;0.004172462;0.00311042;0.00867052;0
0;0;0.001620746;0;0
0;0.001834862;0.002783964;0;0
0;0.002710027;0;0;0
0;0.000750094;0.003412969;0;0.005681818
0;0;0;0;0
0;0.002285192;0.001533742;0.001498127;0
0;0;0.006912442;0.006864989;0
0;0.001663894;0.001865672;0.003389831;0
0;0.005555556;0.00417412;0.004301075;0
0;0.002369668;0.00228833;0;0
0;0.001972387;0;0;0
0;0;0.001061571;0;0
0;0.001587302;0.005037783;0;0
0;0.003724395;0;0.00128866;0
0.009708738;0;0.001360544;0;0
0;0.002680965;0.002680965;0;0
0.011494253;0.003770739;0.002207506;0;0
0.006134969;0.001237624;0;0.003861004;0.005747126
0;0.00309119;0.002538071;0.000488043;0
0;0;0;0.000540833;0
0;0;0;0.001345895;0
0;0;0;0;0
0;0.002190581;0;0.001577287;0
0;0;0;0;0
0;0.001457726;0.002702703;0;0
0.010869565;0;0.003144654;0;0
0;0;0.000733676;0.001964637;0
0;0;0;0.00100452;0.005847953
0;0.009271523;0;0.013899049;0
0;0;0;0;0
0;0;0.008595989;0.002617801;0
0;0;0;0;0
0;0;0.003960396;0;0
0;0;0;0.008928571;0.023529412
0;0.004484305;0;0.004754358;0
0;0.001945525;0.0048;0;0
0;0.002004008;0;0;0
0;0.001647446;0;0;0
0;0;0.003139717;0.003445306;0.005952381
0;0;0.005267118;0;0
0;0;0;0.001206273;0
0;0;0.002164502;0;0
0;0;0;0;0
0;0.00117096;0;0;0
0;0;0.014492754;0;0
0;0;0;0.000763359;0
0.007407407;0;0.001337793;0;0
0;0;0.001858736;0.000917431;0
0;0.001801802;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0.003344482;0.006024096
0;0;0;0;0
0;0;0.002188184;0;0
0;0;0.003717472;0;0
0;0;0;0;0
0;0;0.003412969;0.003144654;0
0;0.002178649;0;0.00177305;0
0.010989011;0;0.002403846;0.003184713;0.006060606
0;0;0.000463177;0.003649635;0
0;0;0;0;0
0;0;0;0.001821494;0
0;0;0;0;0
0;0.004118616;0;0.002004008;0
0;0;0;0.001322751;0
0;0;0;0;0
0;0;0;0.000778816;0
0;0;0;0;0
0;0;0;0;0.006134969
0;0;0.003505697;0;0
0;0.001501502;0.001694915;0.001180638;0
0.0125;0;0.008032129;0.001176471;0
0.005208333;0;0;0;0
0;0;0.00098912;0.001474926;0
0.005780347;0.001589825;0.002597403;0;0
0;0;0;0;0
0;0;0;0;0
0;0.000909091;0;0;0
0;0.00151918;0;0.002836879;0
0;0.001730104;0;0;0
0;0.003584229;0;0;0
0.017241379;0.014285714;0.00190295;0;0
0;0;0;0;0
0.005649718;0;0;0;0
0;0.006389776;0;0.001038422;0
0;0.000820345;0;0.001789976;0
0;0;0;0;0
0;0.002518892;0;0.001103753;0
0;0;0;0;0
0;0;0;0;0
0;0;0.002493766;0.001754386;0
0;0;0;0.008403361;0
0;0;0;0;0.006289308
0;0;0;0;0
0;0.007594937;0;0.002777778;0.006289308
0;0;0;0.002721088;0.006329114
0;0.001869159;0;0;0
0;0.001901141;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0.002816901;0;0
0.010989011;0.004285714;0.002808989;0.005830904;0.006369427
0;0;0;0;0.006369427
0;0;0;0;0
0;0;0;0;0
0;0.002631579;0.002941176;0.001838235;0.006451613
0;0;0;0.002076843;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0.011299435;0;0.000904977;0
0;0.011299435;0;0.000904977;0
0;0;0.002061856;0;0.006493506
0;0;0;0.00135318;0
0;0;0;0;0
0;0.00877193;0;0;0.006493506
0.009433962;0;0.002757353;0;0
0;0;0.005908419;0;0
0;0;0.004166667;0.004310345;0
0;0.002857143;0;0;0
0;0;0.002157497;0.001768868;0
0;0;0;0;0
0;0;0.002604167;0.001302083;0
0;0;0;0.001347709;0
0;0;0.001321004;0;0.006578947
0;0.004395604;0.002309469;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0.002002002;0.002949853;0.000789889;0
0;0.001824818;0;0.001270648;0
0;0;0;0.001795332;0
0;0.001540832;0;0;0
0;0;0.004597701;0;0
0;0.004081633;0;0;0
0;0.001317523;0.002155172;0.002469136;0
0;0;0.004219409;0.00203666;0
0.0078125;0;0;0.002985075;0
0;0;0.001725626;0.00617284;0.006711409
0.02020202;0.003831418;0.001690617;0.002188184;0.006756757
0;0;0.002132196;0.001219512;0
0;0.011538462;0;0.001344086;0
0;0;0;0;0
0;0;0;0;0
0.008695652;0.001231527;0;0.005141388;0.006756757
0;0;0;0;0.006802721
0;0;0;0;0.013605442
0;0.003149606;0;0.003610108;0
0;0.001142857;0.003355705;0.001179245;0
0;0.001984127;0.001124859;0;0
0;0;0;0.001811594;0
0;0;0.005444646;0;0
0;0.0013947;0.001390821;0.00209205;0
0;0.002723559;0.002109705;0;0
0;0;0;0;0.006849315
0;0;0.003838772;0;0
0;0;0;0;0
0;0.001081081;0;0;0
0;0;0.003164557;0.004291845;0.006849315
0;0;0;0;0
0.007042254;0.005747126;0.004618938;0.006134969;0
0;0;0;0.003139717;0
0;0;0;0;0
0;0;0;0;0
