Abstract;Introduction;RelatedWork;Discussion;Conclusion
0;0.363636364;0.195652174;0;0.243243243
0;0.6;0;0;0.4
0.4;0.083333333;0;1.1875;1
0.428571429;2.75;0.2;0;0.8
0.285714286;0.281690141;0;0.048387097;0.285714286
0.428571429;0.071428571;0.260869565;0.15942029;2.428571429
0.166666667;0.125;0.37037037;2.444444444;1.8
0.222222222;0.246153846;0.536585366;0;0.184615385
0.285714286;0.432432432;0.604651163;0;0.833333333
0.375;1.08;1;0.124183007;0
0.25;0.47826087;0;1;1.083333333
0.5;0.033755274;0;0;0
0;0.034482759;0;0;0
0.428571429;0.92;0;0.015082956;0.015174507
0.25;0.25;0;0;1
0.25;0;0;0.179245283;0.416666667
0.333333333;0.304347826;0;0;0.428571429
0.428571429;0.136363636;0.357142857;0;1.444444444
0.333333333;0.571428571;0.272727273;0;1.8
0;0.166666667;0;3.75;0
0.4;0.175;0;0;0.541666667
0.25;0.347826087;0.152941176;0;0.75
0.4;0.125;0.2;0;0.615384615
0.375;0.380952381;0.725490196;0.138461538;0.636363636
0.333333333;1;0;0;1.555555556
0.2;0.454545455;0;0;0.272727273
0.166666667;0.21875;2.666666667;0;3.333333333
0.333333333;0.727272727;0;0;1.090909091
0;0.35483871;0;0;0.357142857
0.333333333;0.3125;0;0;1.25
0.5;0.8;0.214285714;0;0.291666667
0.2;0;0;0;0
0.342696629;0;0;2.1;2
0.307692308;0;0.166666667;0;1
0.166666667;0.8;0.444444444;0;0.421052632
0.285714286;0.266666667;0.428571429;2;0.75
0.166666667;1.333333333;0.051282051;0;0.75
0.375;1.090909091;0;0;0
0;0.3125;0;0;1.166666667
0.111111111;0.148148148;0.27173913;0;0.238095238
0.625;0.138686131;0.666666667;0.483870968;5
0.25;0.2;0;0;0.909090909
0.333333333;0.115384615;0;0;0.571428571
0.25;0.3;0;0.966666667;2.5
0.375;1;0.357142857;0;1.166666667
0.25;0.625;0;0;0.5
0.666666667;0.291666667;0.347826087;0;0.6
0.333333333;0.066666667;0.166666667;0;1.75
0.2;0;0;0;0
0.4;0.6;0;0;0
0.25;0.666666667;0;0;0.357142857
0.166666667;0.5;0.125;0.037037037;1.75
0.333333333;0.17;0;0;1.714285714
0.166666667;0.161290323;0.222222222;0.261904762;0.545454545
0.5;0.304347826;0.529411765;0.722222222;1.2
0.285714286;0.222222222;0;0;0.333333333
0.5;0.315789474;0.470588235;0;0.533333333
0.125;0;0;0;1.333333333
0;0.409090909;0.225806452;0;0.444444444
0;0.111111111;0.222222222;0;0.32
0;0.16;0;1.166666667;0.272727273
0.272727273;0.133333333;0;0;1.142857143
0;0.142857143;0;0;2.333333333
0.571428571;1;1.28;0.533333333;0
0.428571429;0.127659574;0;0;1.2
0.277777778;0.485714286;1.051724138;0;0.466666667
0.2;0;0.6;0;0.28
0.6;0;0.857142857;0.28;1.25
0.428571429;0.142857143;0;0;0.111111111
0.272727273;1.666666667;0.131868132;0;0.28125
0;4.125;0;0;0
0.142857143;0.06122449;0;0;0
0.583333333;0.705882353;0.083333333;0;0.8
0.2;1.9;0;0;1.6
0.571428571;0;0;0;0.363636364
0.166666667;0.147368421;0;0;0
0.571428571;0.380952381;0;0;1.5
0.333333333;0.571428571;0.375;0;0.2
0.8;1.615384615;0;0;0.416666667
0;0.375;0;0;2.333333333
0.333333333;0.4375;0;0;0
0.285714286;0.333333333;0;0.115384615;0.142857143
0;0.285714286;0;0;0
0.75;0.285714286;0;0;0.444444444
0.166666667;1.333333333;0;0;0.8
0;0.333333333;0.666666667;0.6875;0.333333333
1;0.260869565;0.344827586;0;0.571428571
0;0.4;0;0;1.25
0.125;0.214285714;0.181818182;0;0.538461538
0.333333333;0.272727273;0.681818182;0;0.333333333
0.125;0;0;0;0
0.2;0.444444444;1.3125;0;1.2
0.166666667;0.333333333;0.2;0;2
0.5;0.333333333;0.240740741;0.583333333;0.555555556
0.3;0.714285714;0.166666667;0.307692308;0
0.75;0.192307692;0.909090909;0.058823529;1
0.166666667;0.375;0;1.3125;0.733333333
