Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.280193237;0.313492063;0.294505495;0.366917293;0.358224016
0.028571429;0.302414231;0.400345125;0.371527778;0.29969419
0.132653061;0.264492754;0.309364548;0.369795918;0.351434426
0.228070175;0.354659249;0.125;0.333889816;0.121559633
0.187845304;0.432680071;0.333038869;0.402597403;0.421420256
0.183431953;0.282868526;0.290322581;0.291028446;0.317745803
0.283018868;0.166666667;0.391878173;0.402786994;0.245762712
0.210843373;0.349656357;0.41109761;0.420981661;0.335868188
0.201612903;0.353620147;0.421880118;0.417099669;0.374522293
0.143617021;0.387381703;0.430164888;0.320952381;0.360969388
0.236111111;0.272047833;0.339017735;0.334298119;0.355498721
0.421686747;0.371859296;0.418769367;0.393511989;0.42032967
0.205607477;0.288065844;0.232044199;0.335849057;0.498542274
0.146551724;0.420348837;0.176056338;0.339130435;0.351796407
0.080808081;0.26006192;0.231543624;0.364919355;0.342857143
0.367454068;0.371911573;0.343049327;0.401109057;0.385432473
0.092105263;0.243386243;0.392517438;0.249464668;0.238964992
0.257142857;0.27184466;0.346107784;0.363101079;0.320493066
0.327102804;0.359126984;0.331707317;0.349785408;0.296650718
0.358108108;0.336933045;0.293447293;0.443323727;0.402889246
0.375527426;0.423076923;0.29048414;0.427629513;0.414516129
0.204301075;0.353497164;0.370967742;0.351046699;0.391233766
0.31;0.291666667;0.363471971;0.436258808;0.345901639
0.36;0.332957111;0.382300885;0.295508274;0.35986733
0.291925466;0.374407583;0.328690808;0.392253521;0.226289517
0.24;0.338931298;0.362047441;0.303630363;0.247078464
0.211678832;0.331919406;0.311614731;0.339726027;0.322580645
0.285714286;0.35483871;0.389487871;0.312138728;0.318890815
0.240740741;0.404024768;0.339643653;0.342799189;0.364285714
0.21875;0.394877268;0.401698726;0.385125362;0.340501792
0.293577982;0.330409357;0.322970639;0.275;0.264864865
0.132743363;0.226628895;0.293370945;0.400417537;0.311926606
0.29245283;0.383419689;0.342753623;0.364112639;0.351102941
0.359223301;0.331002331;0.21399177;0.313793103;0.33271719
0.225225225;0.275167785;0.321585903;0.30988024;0.294990724
0.284810127;0.370087336;0.323045267;0.304255319;0.299625468
0.21192053;0.414634146;0.272727273;0.232698962;0.370300752
0.226277372;0.317434211;0.332358674;0.33504164;0.338374291
0.244444444;0.217765043;0.288381743;0.355932203;0.260536398
0.263157895;0.309808612;0.412613576;0.424879808;0.341698842
0.23943662;0.356164384;0.376175549;0.379349046;0.32688588
0.205128205;0.26056338;0.323684211;0.346938776;0.355339806
0.32;0.249122807;0.382087099;0.384408602;0.435387674
0.246835443;0.334653465;0.305785124;0.380104712;0.302
0.18705036;0.302380952;0.255882353;0.373617694;0.310621242
0.314285714;0.310810811;0.31871345;0.293820933;0.368209256
0.261111111;0.28125;0.210682493;0.35;0.385245902
0.157575758;0.242718447;0.205607477;0.139240506;0.164241164
0.217391304;0.255172414;0.204710145;0.304166667;0.119496855
0.138297872;0.276944065;0.301245753;0.175732218;0.291139241
0.119565217;0.260124611;0.229090909;0.236781609;0.295116773
0.205607477;0.349337748;0.22875817;0.187134503;0.322649573
0.323170732;0.366637706;0.348093481;0.322709163;0.339092873
0.1;0.29982669;0.225641026;0.355249205;0.267973856
0.266666667;0.300198807;0.331649832;0.332195677;0.296943231
0.229508197;0.230314961;0.234482759;0.352389878;0.291028446
0.243902439;0.282051282;0.318822023;0.406698565;0.356673961
0.35;0.395498392;0.35226179;0.445544554;0.367256637
0.270833333;0.358762887;0.327319588;0.333333333;0.378318584
0.101694915;0.303030303;0.300911854;0.302598491;0.273333333
0.221238938;0.272097054;0.304018196;0.280334728;0.320712695
0.2;0.25;0.27394636;0.328929068;0.229910714
0.241610738;0.362995595;0.31552795;0.270935961;0.242696629
0.168141593;0.342068966;0.385627055;0.268502582;0.22972973
0.191780822;0.193181818;0.168141593;0.424705882;0.299319728
0.237037037;0.350524476;0.407014157;0.381195335;0.424036281
0.257142857;0.215246637;0.25729443;0.266447368;0.260770975
0.242718447;0.367311072;0.320402299;0.377777778;0.317241379
0.156069364;0.266159696;0.231231231;0.321189591;0.235023041
0.222222222;0.449674364;0.329773031;0.338235294;0.284722222
0.223140496;0.474932249;0.257534247;0.341761116;0.261072261
0.256756757;0.270042194;0.27704918;0.213058419;0.285046729
0.278969957;0.331557923;0.332432432;0.391498881;0.395784543
0.224719101;0.335984095;0.458010072;0.394174757;0.321596244
0.241134752;0.306220096;0.308641975;0.5;0.340425532
0.163934426;0.325153374;0.178571429;0.233846154;0.286052009
0.262411348;0.335504886;0.327152318;0.266968326;0.252380952
0.222222222;0.26640159;0.275053305;0.319095477;0.170673077
0.20212766;0.373086221;0.327651515;0.268;0.258454106
0.173076923;0.213235294;0.329145729;0.195121951;0.296836983
0.15037594;0.30511811;0.414194517;0.343149808;0.289215686
0.2421875;0.320404722;0.27173913;0.405152225;0.393564356
0.419161677;0.378612717;0.4;0.445364238;0.4125
0.183098592;0.334685598;0.307692308;0.360552764;0.233082707
0.120879121;0.201372998;0.144067797;0.378243513;0.281407035
0.181818182;0.291754757;0.185303514;0.357927786;0.345088161
0.23880597;0.268939394;0.323076923;0.37609075;0.362720403
0.144927536;0.296875;0.178571429;0.317142857;0.26835443
0.232142857;0.240740741;0.266435986;0;0.297435897
0.352564103;0.434782609;0.433001107;0.461336828;0.372750643
0.204081633;0.241007194;0.285129604;0.346405229;0.24742268
0.211956522;0.247086247;0.33640553;0.384226491;0.351421189
0.401639344;0.461778471;0.46485623;0.465328467;0.354005168
0.222222222;0.290540541;0.385340314;0.335311573;0.322997416
0.371134021;0.376811594;0.302961276;0.333333333;0.411917098
0.208333333;0.320512821;0.274358974;0.201438849;0.221354167
0.219858156;0.37218543;0.300835655;0.42654424;0.313315927
0.313609467;0.356973995;0.36772692;0.281186094;0.315926893
0.224299065;0.259481038;0.342078708;0.231607629;0.292428198
0.360902256;0.360594796;0.317039106;0.398203593;0.30104712
0.114583333;0.299651568;0.33045977;0.145695364;0.276595745
