Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.164251208;0.081349206;0.083516484;0.096992481;0.114026236
0.128571429;0.076238882;0.075927524;0.057291667;0.081549439
0.091836735;0.083333333;0.08361204;0.073469388;0.066598361
0.087719298;0.091794159;0.083333333;0.059265442;0.051605505
0.116022099;0.067701705;0.080388693;0.084415584;0.093131548
0.082840237;0.119521912;0.111111111;0.107221007;0.116306954
0.188679245;0.057471264;0.097461929;0.075646981;0.084745763
0.13253012;0.093642612;0.087079789;0.059061489;0.088719899
0.120967742;0.060860441;0.075335735;0.076051016;0.087898089
0.111702128;0.082649842;0.092628516;0.07047619;0.100765306
0.125;0.074738416;0.062755798;0.074529667;0.101023018
0.076305221;0.075376884;0.054891545;0.074753173;0.083791209
0.130841121;0.135802469;0.077348066;0.073584906;0.069970845
0.094827586;0.077906977;0.061032864;0.073913043;0.104790419
0.141414141;0.117647059;0.087248322;0.080645161;0.123308271
0.083989501;0.068920676;0.080717489;0.083179298;0.086494689
0.039473684;0.108465608;0.080849715;0.072805139;0.082191781
0.107142857;0.106796117;0.073053892;0.068694799;0.083204931
0.121495327;0.06547619;0.085365854;0.070815451;0.092503987
0.121621622;0.088552916;0.084045584;0.07925072;0.086677368
0.080168776;0.093846154;0.078464107;0.057770801;0.080645161
0.086021505;0.075614367;0.068914956;0.05958132;0.064935065
0.06;0.130952381;0.104882459;0.078155029;0.08852459
0.097142857;0.084650113;0.088495575;0.060283688;0.107794362
0.118012422;0.103317536;0.105849582;0.095070423;0.054908486
0.1;0.087022901;0.056179775;0.079207921;0.053422371
0.065693431;0.06892895;0.069405099;0.052054795;0.056027165
0.111111111;0.083191851;0.06671159;0.088150289;0.08492201
0.12962963;0.099071207;0.091314031;0.050709939;0.078571429
0.083333333;0.068303095;0.06245316;0.037367406;0.050179211
0.091743119;0.067251462;0.063903282;0.041176471;0.048648649
0.079646018;0.067988669;0.064880113;0.055532359;0.071559633
0.103773585;0.071502591;0.069565217;0.062868369;0.080882353
0.116504854;0.104895105;0.086419753;0.070689655;0.090573013
0.144144144;0.084563758;0.099118943;0.047904192;0.12244898
0.050632911;0.090611354;0.072016461;0.036170213;0.065543071
0.066225166;0.072493225;0.077540107;0.038927336;0.07518797
0.058394161;0.069078947;0.079922027;0.071748879;0.083175803
0.111111111;0.054441261;0.080912863;0.084745763;0.0651341
0.078947368;0.090909091;0.07536077;0.079326923;0.088803089
0.084507042;0.073972603;0.067398119;0.085297419;0.079303675
0.076923077;0.075117371;0.065789474;0.046741277;0.081553398
0.113333333;0.056140351;0.0673788;0.076612903;0.105367793
0.069620253;0.085148515;0.047520661;0.073298429;0.056
0.043165468;0.064285714;0.058823529;0.051342812;0.068136273
0.076190476;0.076576577;0.108187135;0.063051702;0.106639839
0.05;0.0703125;0.077151335;0.077272727;0.067622951
0.121212121;0.1197411;0.102803738;0.069620253;0.103950104
0.101449275;0.072413793;0.043478261;0.06875;0.023060797
0.095744681;0.06957708;0.07587769;0.054393305;0.061181435
