Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.024154589;0.060515873;0.024175824;0.037593985;0.047426842
0.057142857;0.053367217;0.080241588;0.052083333;0.044852192
0.102040816;0.050724638;0.070234114;0.044081633;0.05942623
0.131578947;0.068150209;0.083333333;0.058430718;0.071100917
0.171270718;0.077882413;0.102473498;0.147186147;0.093131548
0.076923077;0.143426295;0.11827957;0.078774617;0.065947242
0.075471698;0.08045977;0.100507614;0.060384871;0.054479419
0.108433735;0.079896907;0.082624544;0.061218986;0.069708492
0.040322581;0.055613851;0.041598428;0.064241852;0.086624204
0.04787234;0.052365931;0.052376334;0.046666667;0.045918367
0.097222222;0.038863976;0.052523874;0.038350217;0.040920716
0.112449799;0.10720268;0.067729084;0.035260931;0.071428571
0.074766355;0.065843621;0.127071823;0.086792453;0.103498542
0.068965517;0.095348837;0.051643192;0.036231884;0.062874251
0.04040404;0.063467492;0.067114094;0.065188172;0.070676692
0.128608924;0.089726918;0.112107623;0.050831793;0.097116844
0.052631579;0.031746032;0.051997464;0.043897216;0.054794521
0.057142857;0.071197411;0.074251497;0.051030422;0.038520801
0.121495327;0.077380952;0.068292683;0.064377682;0.087719298
0.040540541;0.082073434;0.051282051;0.061479347;0.065810594
0.126582278;0.070769231;0.066777963;0.072527473;0.067741935
0.150537634;0.092627599;0.08797654;0.086956522;0.116883117
0.1;0.05952381;0.047016275;0.065342729;0.068852459
0.177142857;0.076749436;0.066076696;0.153664303;0.066334992
0.043478261;0.058767773;0.100278552;0.055633803;0.024958403
0.13;0.090076336;0.09113608;0.062706271;0.053422371
0.065693431;0.032873807;0.060906516;0.034931507;0.044142615
0.095238095;0.162988115;0.150269542;0.083815029;0.058925477
0.092592593;0.077399381;0.057906459;0.06693712;0.060714286
0.104166667;0.080042689;0.049712715;0.057738669;0.080645161
0.091743119;0.087719298;0.094991364;0.057352941;0.086486486
0.017699115;0.056657224;0.046544429;0.05302714;0.060550459
0.094339623;0.079792746;0.063043478;0.079240341;0.088235294
0.024271845;0.051282051;0.032921811;0.037931034;0.044362292
0.09009009;0.037583893;0.04185022;0.03742515;0.044526902
0.075949367;0.049126638;0.08436214;0.09787234;0.063670412
0.086092715;0.074525745;0.077540107;0.056228374;0.090225564
0.051094891;0.069078947;0.054580897;0.050608584;0.062381853
0.1;0.05730659;0.037344398;0.04853621;0.059386973
0.063157895;0.072966507;0.087119188;0.071814904;0.055984556
0.035211268;0.02739726;0.070532915;0.024691358;0.046421663
0.179487179;0.107981221;0.102631579;0.058591178;0.110679612
0.093333333;0.073684211;0.07641742;0.045698925;0.083499006
0.037974684;0.047524752;0.101239669;0.041884817;0.038
0.064748201;0.069047619;0.05;0.066350711;0.04008016
0.161904762;0.076576577;0.137426901;0.071878941;0.096579477
0.127777778;0.119791667;0.059347181;0.068181818;0.108606557
0.090909091;0.035598706;0.049844237;0.044303797;0.068607069
0.101449275;0.075862069;0.057971014;0.041666667;0.041928721
0.117021277;0.052523874;0.079275198;0.087866109;0.088607595
0.054347826;0.051401869;0.04;0.062068966;0.04670913
0.102803738;0.056291391;0.071895425;0.058479532;0.068376068
0.103658537;0.072111208;0.05904059;0.045816733;0.084233261
0.2125;0.071057192;0.061538462;0.06892895;0.08496732
0.062222222;0.057654076;0.104377104;0.061433447;0.076419214
0.081967213;0.057086614;0.068965517;0.044048735;0.041575492
0.097560976;0.085470085;0.085787452;0.06937799;0.115973742
0.14375;0.112540193;0.076034649;0.097029703;0.081858407
0.135416667;0.090721649;0.077319588;0.061810155;0.084070796
0.050847458;0.11038961;0.088145897;0.169321039;0.042222222
0.03539823;0.05372617;0.054586808;0.035564854;0.037861915
0.047058824;0.0625;0.04789272;0.162030598;0.071428571
0.073825503;0.05814978;0.088198758;0.051724138;0.060674157
0.044247788;0.04;0.040394551;0.032702238;0.045045045
0.047945205;0.022727273;0.03539823;0.054117647;0.045351474
0.1;0.058566434;0.072072072;0.06851312;0.072562358
0.028571429;0.058295964;0.053050398;0.049342105;0.036281179
0.067961165;0.07029877;0.051724138;0.104761905;0.045977011
0.057803468;0.043726236;0.036036036;0.034944238;0.020737327
0.064814815;0.076672587;0.069425901;0.052941176;0.053240741
0.132231405;0.081300813;0.073972603;0.063644289;0.067599068
0.074324324;0.067510549;0.068852459;0.092783505;0.072429907
0.090128755;0.094540613;0.116216216;0.086129754;0.070257611
0.04494382;0.053677932;0.06084116;0.067961165;0.05399061
0.021276596;0.040669856;0.04526749;0.093645485;0.040189125
0.073770492;0.060122699;0.06122449;0.043076923;0.061465721
0.042553191;0.048859935;0.049006623;0.033936652;0.045238095
0.014814815;0.023856859;0.034115139;0.061139028;0.064903846
0.085106383;0.056406124;0.03030303;0.06;0.043478261
0.096153846;0.069852941;0.057788945;0.029810298;0.04622871
0.090225564;0.059055118;0.074727751;0.076824584;0.06127451
0.109375;0.072512648;0.097826087;0.056206089;0.094059406
0.125748503;0.10982659;0.077966102;0.117549669;0.0725
0.070422535;0.062880325;0.08361204;0.081658291;0.070175439
0.131868132;0.080091533;0.059322034;0.130738523;0.09798995
0.056818182;0.048625793;0.03514377;0.062794349;0.065491184
0.067164179;0.066287879;0.048717949;0.05061082;0.052896725
0.057971014;0.025;0.053571429;0.054285714;0.065822785
0.107142857;0.074074074;0.093425606;0;0.082051282
0.083333333;0.110507246;0.135105205;0.102228047;0.12596401
0.12244898;0.032374101;0.07366985;0.049673203;0.056701031
0.054347826;0.027972028;0.039170507;0.035389282;0.03875969
0.139344262;0.143525741;0.158146965;0.118613139;0.121447028
0.049382716;0.043918919;0.053926702;0.053412463;0.025839793
0.041237113;0.062318841;0.061503417;0.025641026;0.056994819
0.0625;0.073260073;0.102564103;0.043165468;0.09375
0.04964539;0.078145695;0.072423398;0.029215359;0.031331593
0.159763314;0.063829787;0.051202483;0.064417178;0.060052219
0.102803738;0.089820359;0.074672048;0.046321526;0.067885117
0.045112782;0.057620818;0.055865922;0.086826347;0.041884817
0.052083333;0.045296167;0.025862069;0.026490066;0.042553191
0.074468085;0.069727891;0.101036269;0.065168539;0.104
0.1640625;0.072700297;0.110419907;0.059773829;0.051075269
0.065693431;0.048951049;0.084656085;0.045627376;0.075880759
0.092436975;0.046544429;0.060721063;0.038592509;0.065217391
0.053475936;0.069486405;0.069074778;0.047808765;0.043478261
0.054945055;0.103825137;0.06184669;0.060518732;0.040983607
0.129213483;0.081761006;0.098228663;0.072429907;0.071038251
0.046979866;0.060070671;0.045922407;0.041015625;0.093663912
0.162162162;0.062622309;0.096774194;0.029304029;0.069252078
0.035714286;0.092741935;0.05;0.097014925;0.044692737
0.114754098;0.05785124;0.063706564;0.048710602;0.100840336
0.101851852;0.119480519;0.080906149;0.093546773;0.144886364
0.12371134;0.044871795;0.049350649;0.058116232;0.074498567
0.077922078;0.127586207;0.069738481;0.061571125;0.068767908
0.045454545;0.1;0.086294416;0.201072386;0.051724138
0.053846154;0.047272727;0.064516129;0.077205882;0.060344828
0.084615385;0.048316252;0.082524272;0.052344602;0.063400576
0.111111111;0.099662162;0.069421488;0.08034188;0.150289017
0.113636364;0.121212121;0.062953995;0.073214286;0.072674419
