Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.048309179;0.050595238;0.052747253;0.054135338;0.060544904
0.071428571;0.07750953;0.060396894;0.055555556;0.057084608
0.081632653;0.036231884;0.045150502;0.034285714;0.06147541
0.035087719;0.0472879;0.104166667;0.044240401;0.028669725
0.044198895;0.052939679;0.084805654;0.054112554;0.064027939
0.076923077;0.039840637;0.053763441;0.050328228;0.063549161
0.028301887;0.08045977;0.054822335;0.051758461;0.041162228
0.054216867;0.053264605;0.051437829;0.055285868;0.053231939
0.072580645;0.041972718;0.056338028;0.042985357;0.052229299
0.069148936;0.067507886;0.075169738;0.054285714;0.084183673
0.111111111;0.050822123;0.042291951;0.041968162;0.076726343
0.060240964;0.055276382;0.055334219;0.052186178;0.057692308
0.065420561;0.090534979;0.038674033;0.01509434;0.087463557
0.068965517;0.062790698;0.037558685;0.028985507;0.053892216
0.070707071;0.049535604;0.05033557;0.050403226;0.05112782
0.023622047;0.026007802;0.029147982;0.029574861;0.034901366
0.092105263;0.092592593;0.056753329;0.056745182;0.056316591
0.071428571;0.051779935;0.064670659;0.038763494;0.043143297
0.037383178;0.063492063;0.041463415;0.051502146;0.052631579
0.054054054;0.084233261;0.045584046;0.068683958;0.083467095
0.046413502;0.050769231;0.060100167;0.044583987;0.041935484
0.053763441;0.04536862;0.042521994;0.048309179;0.030844156
0.04;0.053571429;0.056057866;0.047405509;0.054098361
0.08;0.058690745;0.065486726;0.053191489;0.058043118
0.093167702;0.073933649;0.04735376;0.075352113;0.088186356
0.01;0.041221374;0.043695381;0.04290429;0.026711185
0.087591241;0.060445387;0.062322946;0.054109589;0.073005093
0.079365079;0.050933786;0.059973046;0.047687861;0.05372617
0.092592593;0.063467492;0.063474388;0.047667343;0.067857143
0.098958333;0.072572038;0.059205596;0.044117647;0.075268817
0.100917431;0.070175439;0.063903282;0.033823529;0.059459459
0.097345133;0.059490085;0.04090268;0.033820459;0.047706422
0.037735849;0.066321244;0.061594203;0.070726916;0.0625
0.033980583;0.032634033;0.037037037;0.04137931;0.036968577
0.054054054;0.065771812;0.064977974;0.038922156;0.048237477
0.069620253;0.050218341;0.03909465;0.065957447;0.061797753
0.046357616;0.0399729;0.06684492;0.029411765;0.067669173
0.058394161;0.046052632;0.043859649;0.048686739;0.085066163
0.022222222;0.040114613;0.053941909;0.064714946;0.084291188
0.1;0.05861244;0.058257616;0.064603365;0.073359073
0.070422535;0.057534247;0.040752351;0.043771044;0.071566731
