Abstract;Introduction;RelatedWork;Discussion;Conclusion
0;0.006944444;0.004395604;0.006015038;0.009081736
0.014285714;0.010165184;0.00949094;0.017361111;0.007135576
0;0.007246377;0;0.001632653;0.00204918
0.00877193;0.008344924;0;0.006677796;0.002293578
0.005524862;0.006108425;0.005300353;0.006493506;0.006984866
0.029585799;0.015936255;0.010752688;0.010940919;0.007194245
0;0.005747126;0.002030457;0.00796284;0.002421308
0.012048193;0.000859107;0.004455245;0.004584682;0.002534854
0;0.008394544;0.00589584;0.008030231;0.030573248
0.010638298;0.006309148;0.005819593;0.002857143;0.005102041
0.013888889;0.002989537;0.002728513;0.000723589;0.001278772
0.008032129;0.001675042;0.006640106;0.008462623;0.01510989
0;0;0.011049724;0.005660377;0.002915452
0.025862069;0.00872093;0.004694836;0.010144928;0.00748503
0.01010101;0.003095975;0.013422819;0.003360215;0.004511278
0.005249344;0.00390117;0.006726457;0.003696858;0
0;0;0.004755866;0.004282655;0.00456621
0.014285714;0.003236246;0.013173653;0.008832188;0.004622496
0;0.009920635;0.004878049;0.002145923;0.004784689
0.013513514;0.004319654;0.004273504;0.017291066;0.012841091
0;0.001538462;0.010016694;0.006907378;0.001612903
0;0.003780718;0.01026393;0.003220612;0.00487013
0.02;0.011904762;0.014466546;0.00640615;0.003278689
0.017142857;0.011286682;0.008259587;0.005910165;0.008291874
0;0.003791469;0.005571031;0.008450704;0
0.01;0.007633588;0.004993758;0.01980198;0.003338898
0.00729927;0.004241782;0.007082153;0.004794521;0.001697793
0.031746032;0.008488964;0.004716981;0.00433526;0.006932409
0.018518519;0.004643963;0.010022272;0.005070994;0.003571429
0.005208333;0.002134472;0.002997752;0.004701061;0.003584229
0.009174312;0.005847953;0.008635579;0.011764706;0.003603604
0.008849558;0.011331445;0.005641749;0.001670146;0.00733945
0.009433962;0.002072539;0.004347826;0.006548788;0.003676471
0.004854369;0.006993007;0.008230453;0.006896552;0.009242144
0.009009009;0.002684564;0.003303965;0.004491018;0.00742115
0.006329114;0.005458515;0.008230453;0.012765957;0.003745318
0;0.006097561;0.002673797;0.007785467;0.007518797
0;0.009868421;0.005847953;0.00768738;0.011342155
0;0.008595989;0.004149378;0.006933744;0.001915709
0;0.002392344;0.009620524;0.006310096;0.00965251
0;0.001826484;0.006269592;0.011223345;0.003868472
0;0.009389671;0;0.009874918;0.003883495
0;0;0.008216927;0.001344086;0.005964215
0;0.00990099;0.004132231;0.007329843;0.01
0;0.00952381;0.008823529;0.001579779;0.004008016
0.00952381;0.013513514;0.01754386;0.007566204;0.014084507
0;0.0078125;0;0;0
0;0;0;0;0.002079002
0;0.006896552;0.007246377;0.00625;0.004192872
0.010638298;0.004774898;0.00792752;0;0.004219409
0;0.003115265;0.009090909;0.002298851;0
0;0.006622517;0;0.005847953;0.002136752
0.006097561;0.006950478;0.007380074;0.007968127;0.002159827
0;0.001733102;0.005128205;0.005302227;0.002178649
0;0.005964215;0.003367003;0.003412969;0.010917031
0.016393443;0.007874016;0.003448276;0.003748828;0.008752735
0;0.006410256;0;0.026315789;0.015317287
0.0125;0.003215434;0.002887392;0.017821782;0.004424779
0;0.006185567;0.007731959;0.004415011;0.002212389
