Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.231884058;0.282738095;0.271428571;0.254135338;0.251261352
0.242857143;0.277001271;0.264020708;0.248263889;0.24872579
0.295918367;0.278985507;0.277591973;0.239183673;0.25204918
0.263157895;0.275382476;0.291666667;0.257929883;0.278669725
0.243093923;0.264189361;0.280918728;0.268398268;0.24330617
0.272189349;0.243027888;0.279569892;0.251641138;0.248201439
0.235849057;0.293103448;0.259898477;0.230258792;0.216707022
0.295180723;0.29467354;0.268529769;0.260517799;0.264892269
0.282258065;0.274921301;0.272191287;0.252243741;0.321019108
0.29787234;0.280126183;0.273035887;0.267619048;0.24872449
0.277777778;0.263079223;0.236016371;0.233719247;0.28516624
0.248995984;0.264656616;0.266489597;0.236953456;0.239010989
0.308411215;0.275720165;0.29281768;0.218867925;0.311953353
0.284482759;0.286627907;0.307511737;0.25942029;0.278443114
0.222222222;0.244582043;0.238255034;0.234543011;0.230075188
0.249343832;0.258777633;0.251121076;0.241219963;0.245827011
0.276315789;0.26984127;0.258084971;0.239828694;0.248097412
0.292857143;0.27184466;0.295808383;0.243375859;0.237288136
0.280373832;0.267857143;0.27804878;0.248927039;0.290271132
0.263513514;0.319654428;0.270655271;0.268491835;0.272873194
0.282700422;0.254615385;0.300500835;0.261538462;0.266129032
0.279569892;0.257088847;0.259530792;0.239935588;0.230519481
0.25;0.25;0.258589512;0.262652146;0.252459016
0.257142857;0.292325056;0.27079646;0.334515366;0.257048093
0.273291925;0.30521327;0.311977716;0.297183099;0.336106489
0.2;0.259541985;0.262172285;0.224422442;0.156928214
0.299270073;0.256627784;0.280453258;0.23630137;0.261460102
0.301587302;0.300509338;0.293800539;0.280346821;0.263431542
0.296296296;0.27244582;0.271714922;0.244421907;0.255357143
0.307291667;0.294557097;0.278291282;0.238066538;0.279569892
0.302752294;0.276315789;0.264248705;0.232352941;0.228828829
0.274336283;0.297450425;0.272214386;0.237160752;0.253211009
0.29245283;0.305699482;0.279710145;0.285527177;0.259191176
0.262135922;0.242424242;0.230452675;0.256896552;0.225508318
0.279279279;0.295302013;0.280837004;0.239520958;0.263450835
0.291139241;0.254366812;0.25308642;0.270212766;0.235955056
0.21192053;0.27100271;0.264705882;0.267301038;0.257518797
0.299270073;0.253289474;0.281676413;0.240871236;0.245746692
0.266666667;0.275071633;0.288381743;0.239599384;0.270114943
0.273684211;0.275119617;0.272581507;0.25;0.262548263
0.288732394;0.265753425;0.211598746;0.21661055;0.276595745
0.282051282;0.274647887;0.278947368;0.236998025;0.248543689
0.266666667;0.266666667;0.251437962;0.248655914;0.224652087
0.253164557;0.269306931;0.285123967;0.241884817;0.25
0.302158273;0.273809524;0.282352941;0.285939968;0.236472946
0.295238095;0.315315315;0.271929825;0.228247163;0.273641851
0.277777778;0.268229167;0.3115727;0.218181818;0.266393443
0.254545455;0.242718447;0.246105919;0.227848101;0.274428274
0.231884058;0.275862069;0.246376812;0.279166667;0.180293501
0.29787234;0.272169168;0.25594564;0.284518828;0.280590717
0.25;0.264797508;0.270909091;0.243678161;0.263269639
0.252336449;0.283112583;0.287581699;0.228070175;0.288461538
0.280487805;0.288444831;0.24600246;0.239043825;0.274298056
0.35;0.280762565;0.246153846;0.264050901;0.283224401
0.284444444;0.274353877;0.279461279;0.252559727;0.257641921
0.254098361;0.281496063;0.24137931;0.230552952;0.238512035
0.268292683;0.260683761;0.257362356;0.241626794;0.240700219
0.2625;0.278135048;0.278152069;0.233663366;0.238938053
0.239583333;0.263917526;0.265463918;0.240618102;0.241150442
0.245762712;0.29004329;0.294832827;0.321877619;0.22
0.274336283;0.280762565;0.299469295;0.259414226;0.25389755
0.252941176;0.25;0.295019157;0.316411683;0.212053571
0.234899329;0.27753304;0.273291925;0.263546798;0.242696629
0.265486726;0.263448276;0.254109911;0.240963855;0.247747748
0.280821918;0.28030303;0.247787611;0.247058824;0.242630385
0.303703704;0.271853147;0.295366795;0.25;0.256235828
0.247619048;0.233183857;0.23872679;0.1875;0.219954649
0.291262136;0.260105448;0.235632184;0.223809524;0.264367816
0.265895954;0.24904943;0.255255255;0.253531599;0.225806452
0.273148148;0.279159266;0.263017356;0.22745098;0.24537037
0.214876033;0.256097561;0.243835616;0.239755885;0.251748252
0.297297297;0.282700422;0.281967213;0.24742268;0.247663551
0.261802575;0.245006658;0.297297297;0.267337808;0.236533958
0.314606742;0.298210736;0.29413366;0.267961165;0.269953052
0.262411348;0.275119617;0.268861454;0.262541806;0.260047281
0.229508197;0.298159509;0.316326531;0.243076923;0.255319149
0.255319149;0.280130293;0.263576159;0.244343891;0.24047619
0.251851852;0.248508946;0.262260128;0.296482412;0.192307692
0.319148936;0.251410153;0.248106061;0.224;0.248792271
0.288461538;0.279411765;0.288944724;0.241192412;0.260340633
0.255639098;0.265748031;0.266616598;0.250960307;0.25
0.265625;0.300168634;0.279891304;0.24824356;0.254950495
0.233532934;0.283236994;0.257627119;0.263245033;0.255
0.281690141;0.275862069;0.265886288;0.253768844;0.263157895
0.252747253;0.270022883;0.330508475;0.236526946;0.281407035
0.295454545;0.241014799;0.290734824;0.283359498;0.249370277
0.28358209;0.28030303;0.305128205;0.239092496;0.267002519
0.289855072;0.259375;0.260714286;0.265714286;0.258227848
0.3125;0.322751323;0.297577855;0.297297297;0.287179487
0.237179487;0.242753623;0.252491694;0.247706422;0.192802057
0.285714286;0.305755396;0.297407913;0.245751634;0.257731959
0.255434783;0.263403263;0.279953917;0.256825076;0.263565891
0.229508197;0.232449298;0.236421725;0.22080292;0.260981912
0.296296296;0.246621622;0.277486911;0.275964392;0.245478036
0.24742268;0.288405797;0.314350797;0.239316239;0.264248705
0.25;0.28021978;0.251282051;0.251798561;0.255208333
0.234042553;0.279470199;0.278551532;0.243739566;0.261096606
0.236686391;0.282899921;0.289371606;0.240286299;0.266318538
0.308411215;0.263473054;0.271442987;0.258855586;0.255874674
0.255639098;0.271375465;0.26396648;0.30239521;0.246073298
0.260416667;0.259581882;0.245689655;0.21192053;0.252659574
0.234042553;0.268707483;0.248704663;0.229213483;0.248
0.265625;0.262611276;0.283048212;0.241249327;0.25
0.277372263;0.277389277;0.289241623;0.27756654;0.27100271
0.260504202;0.287729196;0.292220114;0.225879682;0.214673913
0.278074866;0.266868077;0.261089987;0.247011952;0.288043478
0.263736264;0.278688525;0.263937282;0.253602305;0.237704918
0.247191011;0.247379455;0.2431562;0.245327103;0.226775956
0.275167785;0.247349823;0.271575614;0.23828125;0.247933884
0.304054054;0.279843444;0.258064516;0.263736264;0.288088643
0.25;0.290322581;0.3;0.281094527;0.265363128
