Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.531400966;0.580357143;0.521978022;0.552631579;0.58728557
0.585714286;0.613722999;0.575496117;0.538194444;0.599388379
0.693877551;0.586956522;0.638795987;0.542857143;0.557377049
0.614035088;0.596662031;0.5625;0.583472454;0.685779817
0.806629834;0.60906083;0.663427562;0.725108225;0.591385332
0.562130178;0.6812749;0.684587814;0.595185996;0.62470024
0.641509434;0.591954023;0.635532995;0.565361646;0.576271186
0.674698795;0.598797251;0.597407857;0.593311758;0.6121673
0.580645161;0.557187828;0.566328202;0.59801606;0.606369427
0.632978723;0.593690852;0.579049467;0.535238095;0.556122449
0.694444444;0.54857997;0.607776262;0.575976845;0.608695652
0.626506024;0.636515913;0.575475874;0.543018336;0.608516484
0.757009346;0.592592593;0.629834254;0.581132075;0.746355685
0.672413793;0.619186047;0.647887324;0.572463768;0.609281437
0.595959596;0.575851393;0.590604027;0.57594086;0.562406015
0.614173228;0.630689207;0.674887892;0.58780037;0.605462822
0.631578947;0.613756614;0.606531389;0.509635974;0.535768645
0.614285714;0.572815534;0.670658683;0.582924436;0.539291217
0.635514019;0.567460317;0.573170732;0.542918455;0.661881978
0.540540541;0.596112311;0.525641026;0.582132565;0.555377207
0.675105485;0.586923077;0.569282137;0.579905808;0.575806452
0.752688172;0.616257089;0.61143695;0.574879227;0.576298701
0.49;0.547619048;0.569620253;0.557975657;0.555737705
0.771428571;0.686230248;0.625368732;0.752955083;0.689883914
0.590062112;0.622748815;0.690807799;0.616197183;0.697171381
0.64;0.61221374;0.606741573;0.528052805;0.497495826
0.598540146;0.497348887;0.583569405;0.473972603;0.536502547
0.634920635;0.674023769;0.646226415;0.62716763;0.575389948
0.666666667;0.617647059;0.60467706;0.518255578;0.542857143
0.651041667;0.645677695;0.606545091;0.617526519;0.611111111
0.642201835;0.606725146;0.573402418;0.536764706;0.526126126
0.486725664;0.609065156;0.543018336;0.537787056;0.528440367
0.566037736;0.587564767;0.563768116;0.621480026;0.602941176
0.601941748;0.538461538;0.695473251;0.627586207;0.560073937
0.63963964;0.612080537;0.622246696;0.510479042;0.61038961
0.689873418;0.542576419;0.627572016;0.646808511;0.576779026
0.523178808;0.60298103;0.628342246;0.564878893;0.578947368
0.627737226;0.615131579;0.556530214;0.589365791;0.555765595
0.722222222;0.52722063;0.56846473;0.57164869;0.599616858
0.594736842;0.625598086;0.602886157;0.609375;0.581081081
0.563380282;0.5543379;0.492163009;0.460157127;0.611218569
0.628205128;0.582159624;0.6;0.529295589;0.553398058
0.573333333;0.58245614;0.594905505;0.508064516;0.528827038
0.607594937;0.564356436;0.628099174;0.543455497;0.57
0.561151079;0.526190476;0.541176471;0.665876777;0.496993988
0.761904762;0.662162162;0.669590643;0.617906683;0.647887324
0.544444444;0.6171875;0.629080119;0.493181818;0.551229508
0.618181818;0.546925566;0.561786085;0.5;0.565488565
0.623188406;0.617241379;0.59057971;0.525;0.452830189
0.659574468;0.606412005;0.633069083;0.619246862;0.641350211
0.608695652;0.563862928;0.554545455;0.606896552;0.583864119
0.691588785;0.569536424;0.633986928;0.532163743;0.617521368
0.670731707;0.61337967;0.531365314;0.529880478;0.624190065
0.7875;0.535528596;0.651282051;0.709437964;0.705882353
0.622222222;0.586481113;0.676767677;0.57337884;0.558951965
0.62295082;0.578740157;0.54137931;0.538894096;0.52297593
0.695121951;0.608974359;0.614596671;0.612440191;0.695842451
0.63125;0.61414791;0.628488932;0.568316832;0.548672566
0.65625;0.655670103;0.670103093;0.55187638;0.621681416
0.550847458;0.662337662;0.641337386;0.730092205;0.511111111
0.539823009;0.629116118;0.591357089;0.525104603;0.485523385
0.588235294;0.4625;0.624521073;0.728789986;0.457589286
0.604026846;0.581497797;0.622360248;0.633004926;0.552808989
0.584070796;0.548965517;0.529356505;0.528399312;0.547297297
0.582191781;0.534090909;0.544247788;0.55;0.498866213
0.718518519;0.566433566;0.630630631;0.610058309;0.607709751
0.638095238;0.542600897;0.49867374;0.447368421;0.503401361
0.640776699;0.623901582;0.619252874;0.615873016;0.588505747
0.578034682;0.524714829;0.546546547;0.607434944;0.476958525
0.564814815;0.593250444;0.556742323;0.48627451;0.564814815
0.652892562;0.601174345;0.553424658;0.509154316;0.522144522
0.574324324;0.5907173;0.640983607;0.529209622;0.523364486
0.64806867;0.596537949;0.72972973;0.696868009;0.56440281
0.539325843;0.51888668;0.574247992;0.54368932;0.546948357
0.496453901;0.557416268;0.58436214;0.622073579;0.522458629
0.540983607;0.592638037;0.530612245;0.541538462;0.56501182
0.503546099;0.561889251;0.524503311;0.466063348;0.466666667
0.585185185;0.536779324;0.55010661;0.719430486;0.524038462
0.617021277;0.539887188;0.496212121;0.524;0.512077295
0.653846154;0.569852941;0.572864322;0.485094851;0.576642336
0.586466165;0.551181102;0.570033796;0.559539052;0.541666667
0.6328125;0.634064081;0.64673913;0.639344262;0.616336634
0.652694611;0.658959538;0.625423729;0.716887417;0.62
0.704225352;0.596348884;0.668896321;0.600502513;0.561403509
0.681318681;0.695652174;0.652542373;0.649700599;0.575376884
0.727272727;0.55602537;0.623003195;0.64599686;0.637279597
0.619402985;0.598484848;0.592307692;0.554101222;0.58186398
0.637681159;0.615625;0.617857143;0.597142857;0.579746835
0.625;0.616402116;0.692041522;0.648648649;0.625641026
0.653846154;0.710144928;0.722037652;0.686762779;0.586118252
0.639455782;0.535971223;0.628922237;0.534640523;0.546391753
0.527173913;0.554778555;0.574884793;0.576339737;0.568475452
0.655737705;0.652106084;0.68370607;0.651459854;0.764857881
0.679012346;0.559121622;0.603664921;0.617210682;0.54005168
0.546391753;0.623188406;0.62642369;0.641025641;0.634715026
0.635416667;0.604395604;0.584615385;0.539568345;0.4296875
0.531914894;0.62781457;0.61281337;0.528380634;0.577023499
0.615384615;0.58392435;0.606671839;0.673824131;0.597911227
0.635514019;0.636726547;0.594349142;0.585831063;0.597911227
0.62406015;0.657992565;0.586592179;0.676646707;0.465968586
0.5625;0.585365854;0.510057471;0.516556291;0.52393617
0.574468085;0.578231293;0.593264249;0.552808989;0.594666667
0.734375;0.603857567;0.66407465;0.560581583;0.521505376
0.613138686;0.517482517;0.610229277;0.539923954;0.577235772
0.546218487;0.575458392;0.576850095;0.559591373;0.497282609
0.657754011;0.629405841;0.602661597;0.601593625;0.638586957
0.516483516;0.535519126;0.548998258;0.514409222;0.510928962
0.606741573;0.559748428;0.615136876;0.546728972;0.587431694
0.577181208;0.568904594;0.604117181;0.568359375;0.64738292
0.682432432;0.547945205;0.564516129;0.494505495;0.592797784
0.508928571;0.600806452;0.593333333;0.537313433;0.519553073
0.655737705;0.58677686;0.571428571;0.515759312;0.630252101
0.675925926;0.683116883;0.718446602;0.663331666;0.681818182
0.649484536;0.585470085;0.587012987;0.524048096;0.673352436
0.688311688;0.593103448;0.637608966;0.585987261;0.578796562
0.527272727;0.587878788;0.553299492;0.774798928;0.5
0.507692308;0.574545455;0.689516129;0.522058824;0.57183908
0.630769231;0.603221083;0.656553398;0.60523446;0.829971182
0.603174603;0.589527027;0.66446281;0.622222222;0.812138728
0.642045455;0.651515152;0.624697337;0.5625;0.587209302
0.674107143;0.573676681;0.594827586;0.620723363;0.583090379
0.586206897;0.572100313;0.623376623;0.534031414;0.612244898
0.581818182;0.608955224;0.626911315;0.55190017;0.532163743
0.598484848;0.608599779;0.586206897;0.541030534;0.502923977
0.55;0.557209302;0.579069767;0.496389892;0.564327485
0.538167939;0.552631579;0.610351563;0.489344909;0.648093842
0.679245283;0.619607843;0.641137856;0.620333598;0.611764706
0.592;0.637824475;0.597842835;0.558043118;0.605882353
0.640625;0.586702128;0.575052854;0.529625151;0.573529412
0.615384615;0.632034632;0.661605206;0.580398162;0.721893491
0.612903226;0.610878661;0.579952267;0.478747204;0.573964497
0.742268041;0.531531532;0.652370203;0.565445026;0.624260355
