Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.009661836;0.003968254;0.006593407;0.002255639;0.00605449
0;0.00635324;0.012942192;0.006944444;0.007135576
0.020408163;0.007246377;0.008361204;0.008979592;0.005122951
0;0;0;0.003338898;0.002293578
0.005524862;0.004835836;0.006183746;0.002164502;0.003492433
0.00591716;0.011952191;0;0.004376368;0.007194245
0.009433962;0;0.009137056;0.00398142;0.003631961
0.006024096;0.00257732;0.002835156;0.002696872;0.002534854
0;0.013641133;0.005240747;0.007557865;0.011464968
0.005319149;0.003785489;0.005819593;0.008571429;0.005102041
0.013888889;0.001494768;0.007503411;0.004341534;0.003836317
0.008032129;0.006700168;0.006197432;0.014104372;0.009615385
0;0.008230453;0;0.00754717;0.001457726
0;0.003488372;0.007042254;0.004347826;0.00748503
0.02020202;0.010835913;0.010067114;0.010080645;0.007518797
0.007874016;0.00390117;0.004484305;0.010166359;0.012139605
0;0;0.005707039;0.001070664;0.00152207
0;0.006472492;0.00239521;0.006378803;0.00770416
0.009345794;0.003968254;0.002439024;0.008583691;0.004784689
0.02027027;0.004319654;0.014245014;0.006243996;0.006420546
0.008438819;0.003846154;0.003338898;0.003453689;0.003225806
0;0.007561437;0.011730205;0.011272142;0.00487013
0.02;0.005952381;0.003616637;0.00640615;0.009836066
0;0.007900677;0.008849558;0.005910165;0.001658375
0.00621118;0.002843602;0;0.005633803;0
0.01;0.009160305;0.008739076;0.00330033;0.006677796
0;0.001060445;0.008498584;0.002054795;0.008488964
0;0.008488964;0.009433962;0.011560694;0.001733102
0;0.007739938;0.005567929;0.005070994;0.0125
0.015625;0.007470651;0.006744941;0.006268081;0.005376344
0.009174312;0.011695906;0.005181347;0.004411765;0.005405405
0.008849558;0.002832861;0.005641749;0.005010438;0.001834862
0;0.004145078;0.010869565;0.007858546;0.012867647
0.014563107;0.009324009;0;0.005172414;0.005545287
0;0.004026846;0.004405286;0.004491018;0
0.012658228;0.002183406;0.014403292;0.00212766;0.003745318
0.006622517;0.006775068;0.002673797;0.000865052;0
0;0.009868421;0.00877193;0.001921845;0.003780718
0;0.008595989;0.006224066;0.006163328;0.001915709
0.015789474;0.005980861;0.005879209;0.006009615;0.001930502
0.014084507;0.010045662;0.007836991;0.011223345;0.007736944
0.012820513;0.004694836;0.002631579;0.003949967;0.005825243
0.006666667;0.010526316;0.01232539;0.005376344;0.003976143
0.012658228;0.005940594;0;0.010471204;0.008
0.007194245;0.011904762;0.008823529;0.003159558;0.008016032
0;0.013513514;0.00877193;0.002522068;0.004024145
0;0.0078125;0.002967359;0.002272727;0.00204918
0.006060606;0.006472492;0;0.006329114;0
0.028985507;0.010344828;0.012681159;0.010416667;0
0.010638298;0.008867667;0.00792752;0;0.012658228
0.010869565;0.010903427;0.012727273;0.002298851;0.006369427
0.009345794;0.003311258;0.013071895;0;0.008547009
0.006097561;0.005212858;0.006150062;0;0.010799136
0;0.001733102;0.01025641;0.01378579;0.002178649
0.008888889;0.001988072;0.006734007;0.010238908;0.010917031
0.008196721;0.003937008;0.003448276;0.004686036;0.008752735
0.012195122;0.004273504;0.011523688;0.011961722;0.010940919
0.00625;0.009646302;0.011549567;0.00990099;0.011061947
0;0.01443299;0.015463918;0.008830022;0.006637168
0.025423729;0.006493506;0.006079027;0.004191115;0.006666667
0.017699115;0.013864818;0.007581501;0.008368201;0.004454343
0.005882353;0.00625;0.009578544;0.005563282;0
0;0.007048458;0.009937888;0.007389163;0.004494382
0.008849558;0.011034483;0.010803194;0.008605852;0.011261261
0.006849315;0;0;0.010588235;0.006802721
0;0.005244755;0.006113256;0.008017493;0.009070295
0.00952381;0.02690583;0.013262599;0.003289474;0.006802721
0;0.007029877;0.002873563;0.006349206;0.002298851
0.011560694;0;0.003003003;0.003717472;0.002304147
0.00462963;0.005920663;0.008010681;0.008823529;0.002314815
0.024793388;0.008581752;0.010958904;0.009590235;0.009324009
0;0;0.001639344;0.006872852;0.004672897
0.017167382;0.009320905;0.008108108;0.011185682;0.021077283
0.011235955;0.003976143;0.007622159;0.017475728;0.014084507
0.007092199;0.004784689;0.008230453;0.011705686;0.002364066
0;0.003680982;0.010204082;0.003076923;0.009456265
0.021276596;0.001628664;0.005298013;0.009049774;0.002380952
0.007407407;0.003976143;0.002132196;0.006700168;0.002403846
0;0.003223207;0.003787879;0;0.002415459
0;0.007352941;0.015075377;0;0.01216545
0;0.005905512;0.006008261;0.002560819;0.004901961
0;0.006745363;0.005434783;0.00234192;0.007425743
0.011976048;0.01734104;0.010169492;0.004966887;0.01
0.014084507;0.010141988;0.003344482;0.010050251;0.007518797
0.010989011;0.004576659;0;0;0
0.011363636;0.00422833;0;0.004709576;0
0;0.005681818;0.005128205;0.010471204;0
0;0.00625;0;0.005714286;0.012658228
0.017857143;0.007936508;0.006920415;0;0.002564103
0.012820513;0;0.003322259;0.001310616;0
0;0.007194245;0.004092769;0.005228758;0.00257732
0.005434783;0.006993007;0.008064516;0.007077856;0.005167959
0.016393443;0.003120125;0.009584665;0.01459854;0.007751938
0.012345679;0.001689189;0.010471204;0.002967359;0.002583979
0;0.008695652;0.006833713;0;0.007772021
0.010416667;0.005494505;0.002564103;0.007194245;0.002604167
0;0.00397351;0.008356546;0.006677796;0.01305483
0.01183432;0.008668243;0.006982157;0.00204499;0.005221932
0;0.003992016;0.005045409;0.002724796;0.002610966
0;0;0.002793296;0;0.002617801
0.010416667;0.010452962;0.004310345;0;0.007978723
0;0.003401361;0.015544041;0.006741573;0.008
0;0.005934718;0.00155521;0.004846527;0.005376344
0.00729927;0.009324009;0.012345679;0.001901141;0.002710027
0.008403361;0.001410437;0.003795066;0.002270148;0.005434783
0;0.006042296;0.005703422;0.003984064;0.002717391
0.021978022;0;0.008710801;0.004322767;0.019125683
0.005617978;0.008385744;0.006441224;0.007009346;0.005464481
0.013422819;0.007067138;0.01266825;0.00390625;0
0;0.003913894;0;0;0
0.008928571;0.00672043;0.003333333;0.012437811;0.008379888
0.016393443;0.011019284;0.005791506;0.005730659;0.011204482
0;0.023376623;0.006472492;0.005502751;0.002840909
0;0.006410256;0.002597403;0.011022044;0.011461318
0;0.010344828;0.00622665;0.012738854;0.011461318
0;0.003030303;0.005076142;0.008042895;0.005747126
0.007692308;0.006060606;0.016129032;0.007352941;0.002873563
0.015384615;0.007320644;0.007281553;0.00436205;0.002881844
0;0.016891892;0.01322314;0.005128205;0
0;0.008264463;0.007263923;0;0.014534884
0.017857143;0.008583691;0.005747126;0.00684262;0.002915452
0;0.003134796;0.002164502;0.004363002;0.002915452
0;0.008955224;0.003058104;0.01020987;0.005847953
0.022727273;0.006615215;0.006269592;0.022900763;0.014619883
0;0.013023256;0.009302326;0.012635379;0.002923977
0;0.00877193;0.006835938;0.00394633;0
0;0.007843137;0.010940919;0.006354249;0.005882353
0.016;0.009888752;0.004622496;0.004975124;0.005882353
0.0078125;0.003723404;0.00422833;0.00241838;0.002941176
0.008547009;0;0.010845987;0.006125574;0.00591716
0.008064516;0.008368201;0.007159905;0.004474273;0
0;0.018018018;0.002257336;0.007853403;0.00295858
0.011904762;0.00621118;0.005905512;0.003984064;0.00591716
0;0.010928962;0.013623978;0.011235955;0
0.035294118;0.014141414;0.008474576;0.004545455;0.014836795
0;0.004975124;0.006329114;0.006688963;0.005952381
0.018018018;0.00968523;0.006745363;0;0.009063444
0.006896552;0.011986301;0.007418398;0.008298755;0.006060606
0.010752688;0.002659574;0;0;0.006060606
0.017699115;0.005208333;0.005226481;0.009607686;0.015197568
0.00952381;0.005882353;0.001689189;0.00295858;0.003039514
0;0;0.004796163;0.006217617;0
0;0.006525285;0.004115226;0.003460208;0.006116208
0.031413613;0.005016722;0.017167382;0.007802341;0.012232416
0.005076142;0.004907975;0.011111111;0.006465517;0
0.005714286;0.007818608;0.004914005;0.007352941;0.003058104
0.006666667;0.015197568;0.006410256;0.002615519;0.003067485
0;0.006568144;0.003802281;0.008416623;0.003076923
0;0.007898894;0.007672634;0.005357143;0.003076923
0.009090909;0.003731343;0;0.003898635;0.003095975
0.006849315;0.001519757;0.019259259;0;0.00619195
0.01025641;0.009708738;0.010752688;0.005958292;0.009345794
0.013888889;0.010309278;0.008587786;0.006369427;0.003115265
0;0.010113028;0.01063022;0.007104796;0.009375
0;0.00311042;0.002702703;0;0.003134796
