Abstract;Introduction;RelatedWork;Discussion;Conclusion
0.104166667;0.045614035;0.016194332;0.026627219;0.072289157
0;0.013761468;0.003267974;0.034965035;0.024590164
0.068965517;0.025974026;0.030120482;0.116040956;0.06504065
0.1;0.03030303;0.142857143;0.064724919;0.032921811
0.045454545;0.08477842;0.025157233;0.072580645;0.090909091
0.086956522;0.016393443;0;0.008695652;0.038647343
0.16;0.078431373;0.02734375;0.060518732;0.106145251
0.163265306;0.052478134;0.051282051;0.025879917;0.081339713
0.114285714;0.007633588;0.013237064;0.050561798;0.015873016
0.107142857;0.081081081;0.088809947;0.060498221;0.148717949
0.1;0.056818182;0.049132948;0.095975232;0.125560538
0.112903226;0.088607595;0.056478405;0.041666667;0.08045977
0.090909091;0.074626866;0.056603774;0.086206897;0.023364486
0.121212121;0.056795132;0.061068702;0.033519553;0.091397849
0.045454545;0.044303797;0.028169014;0.022922636;0.039215686
0.042105263;0.010050251;0.035714286;0.061302682;0.049382716
0.095238095;0.098039216;0.065110565;0.102678571;0.116564417
0.12195122;0.071428571;0.016194332;0.084677419;0.090909091
0.133333333;0.088888889;0.035087719;0.103448276;0.065934066
0.051282051;0.040540541;0;0.030411449;0.041176471
0.134328358;0.081570997;0.055555556;0.088835534;0.096969697
0.076923077;0.058823529;0.028248588;0.046979866;0.035211268
0.04;0.047619048;0.027972028;0.043902439;0.058441558
0.133333333;0.077220077;0.010893246;0.045936396;0.161290323
0.113636364;0.052795031;0.017857143;0.078199052;0.014851485
0.1;0.058823529;0.014285714;0.132352941;0.074468085
0.146341463;0.090909091;0;0.12173913;0.11038961
0.210526316;0.084745763;0.041284404;0.015463918;0.144736842
0.125;0.0625;0.008196721;0.053941909;0.090909091
0.050847458;0.043478261;0.027827648;0.015189873;0.019230769
0.090909091;0.037037037;0.013071895;0.050632911;0.125984252
0.096774194;0.123809524;0.031088083;0.044014085;0.065217391
0.032258065;0.050847458;0.023316062;0.064220183;0.085106383
0.222222222;0.019230769;0.035714286;0.073825503;0.024590164
0.225806452;0.059090909;0.039215686;0.08125;0.176056338
0.086956522;0.017167382;0.032520325;0.062992126;0.079365079
0.125;0.0825;0.101010101;0.012944984;0.131386861
0;0.006493506;0.006920415;0;0
0.166666667;0.072916667;0.064748201;0.051446945;0.141843972
0.019230769;0.034782609;0.001960784;0.046875;0.051470588
0.12195122;0.04467354;0.044444444;0.077720207;0.076923077
0.045454545;0.076923077;0.009433962;0.075;0.1171875
0.125;0.039473684;0;0.021621622;0.079646018
0.075;0.051470588;0.036231884;0.073593074;0.056
0.142857143;0.086956522;0;0.011049724;0.033898305
0.032258065;0.057142857;0.032258065;0.011049724;0.073529412
0.14;0.077669903;0.019047619;0.09375;0.092307692
0.095238095;0.026666667;0.012658228;0.111111111;0.045454545
0.0625;0.05;0.007352941;0.037313433;0.011627907
0.142857143;0.070175439;0.057522124;0.117647059;0.097744361
0;0.023529412;0.053691275;0.028301887;0.072580645
0.037037037;0.040935673;0.045454545;0.051282051;0.059259259
0.086956522;0.084337349;0.08;0.058333333;0.102362205
0.071428571;0.012345679;0;0.012048193;0.023076923
0.078125;0.02173913;0.012048193;0.067567568;0.101694915
0.129032258;0.034965035;0.157142857;0.040650407;0.082568807
0.136363636;0.049180328;0;0.108910891;0.127272727
0.119047619;0.075144509;0.01384083;0.033898305;0.055555556
0.043478261;0.0625;0.019417476;0.055045872;0.027522936
0;0.037313433;0;0.03125;0.080808081
0;0.024691358;0.02278481;0.096774194;0.131578947
0;0;0;0.017582418;0.084210526
0.114285714;0.025396825;0.004545455;0.028037383;0.083333333
0;0.015706806;0.040665434;0.007142857;0
0.024390244;0.094594595;0.053571429;0.142857143;0.14953271
0.109756098;0.035369775;0.026143791;0.020408163;0.097345133
0;0;0;0;0.010309278
0.133333333;0.060810811;0.030487805;0.014184397;0.07826087
0.043478261;0.030534351;0.035294118;0.035190616;0.040816327
0.084745763;0.016967126;0.086294416;0.077586207;0.056603774
0.038461538;0.030864198;0.078651685;0.065454545;0.083333333
0.136363636;0.044776119;0.005813953;0.125;0.132075472
0;0.02173913;0;0.020920502;0.069306931
0.142857143;0.053333333;0.062471078;0.028985507;0.165217391
0;0.017391304;0;0;0.009090909
0.107142857;0.061728395;0.080645161;0.050632911;0.064814815
0.25;0.093023256;0.08040201;0.138888889;0.138613861
0.117647059;0.04;0.032520325;0.028248588;0.0625
0.133333333;0.102564103;0.091603053;0.107142857;0.097087379
0.066666667;0.157894737;0;0.04494382;0.14953271
0.088235294;0.022222222;0.045070423;0.06122449;0.117647059
0.029411765;0.033707865;0;0;0
0.025641026;0.051020408;0.006578947;0;0.009803922
0.15;0.073529412;0.012578616;0.064356436;0.085714286
0.217391304;0.101694915;0;0.008438819;0.017857143
0.076923077;0.061403509;0.032967033;0.013850416;0.03030303
0.131578947;0.060810811;0.067226891;0.062043796;0.226415094
0.1;0.060240964;0.068493151;0.129032258;0.098039216
0.085714286;0.081967213;0.046511628;0;0.098214286
0.054054054;0.052238806;0.013157895;0.08994709;0.053333333
0.142857143;0.188235294;0.032110092;0.079787234;0.12
0.106382979;0.03539823;0.037037037;0.039370079;0.088235294
0.178571429;0.120805369;0.040540541;0.041322314;0.099009901
0.083333333;0.034246575;0.022641509;0.010752688;0.021052632
0.104166667;0.050251256;0.02173913;0.035714286;0.068627451
0.041666667;0.058823529;0.010204082;0.028571429;0.06122449
0.060606061;0.023696682;0.01;0.054794521;0.06
0.125;0.044568245;0.034852547;0.021276596;0.107843137
0.151515152;0.037878788;0.014869888;0.105263158;0.153061224
0.088235294;0.075342466;0.105820106;0.108910891;0.191489362
0;0.013422819;0.005847953;0.0625;0.021052632
0.181818182;0.03164557;0.072916667;0.088235294;0.043010753
0.117647059;0.073446328;0.021978022;0.035714286;0.096774194
0.078947368;0.100840336;0.030487805;0.054794521;0.17
0.064516129;0.058823529;0.019480519;0.035175879;0.025316456
0.096153846;0.113207547;0.016990291;0.161290323;0.141509434
0.041666667;0.117647059;0.064356436;0.039772727;0.08045977
0.045454545;0.050847458;0.026490066;0.114285714;0.120481928
0.073170732;0.042857143;0.069970845;0.057377049;0.011111111
0.066666667;0.048951049;0;0.097222222;0.105769231
0.107142857;0.069444444;0.066666667;0.097345133;0.063157895
0.055555556;0.06122449;0.028571429;0.011363636;0.063829787
0.230769231;0.084210526;0.069767442;0.07678245;0.168674699
0.115384615;0.023809524;0.009090909;0.068669528;0.063829787
0.192307692;0.1;0.019047619;0.0625;0.06185567
0.09375;0.091954023;0;0.053846154;0.156626506
0.1;0.071428571;0;0.109375;0.068181818
0.060606061;0.051020408;0.035433071;0.009569378;0.039215686
0;0;0.006369427;0.021276596;0
0.05;0.07106599;0.018348624;0.079710145;0.048780488
0.120689655;0.067484663;0.02173913;0.043314501;0.129411765
0.025641026;0.045714286;0;0.056939502;0.071428571
0.042553191;0.025773196;0;0.054852321;0.173913043
0;0;0;0;0
0.076923077;0.06185567;0.066666667;0.037037037;0.159574468
0.078125;0.14159292;0.015267176;0.04887218;0.111111111
0.115384615;0.075757576;0.033557047;0.044444444;0.104166667
0.03125;0.041450777;0.090909091;0.127946128;0.158536585
0.105263158;0.117760618;0.078125;0.093023256;0.134146341
0.151515152;0.0625;0.030534351;0.031055901;0.087378641
0;0.024793388;0.009009009;0.056603774;0.069767442
0.103448276;0.015384615;0;0.08988764;0.037037037
0.083333333;0.121212121;0.062893082;0.096774194;0.225490196
0.157894737;0.0625;0.02688172;0.011235955;0.101123596
0.041666667;0.04964539;0.029850746;0.098214286;0.090909091
0.114285714;0.079069767;0.011428571;0.063291139;0.045977011
0.034482759;0.036363636;0.041257367;0.052238806;0.045454545
0.097560976;0.076470588;0.032786885;0.073770492;0.113402062
0.043478261;0.056074766;0.093023256;0.122222222;0.094117647
0.032258065;0.025974026;0.034482759;0.01320132;0.068181818
0.107142857;0.059405941;0.029585799;0.141176471;0.083333333
0.125;0.043478261;0.016393443;0.012987013;0.033333333
0.117647059;0.037037037;0.058823529;0.060747664;0.075
0;0.026143791;0;0;0
0.092592593;0.072815534;0;0.025210084;0.075
0.081632653;0.075208914;0.029345372;0.142857143;0.096385542
0.023809524;0.032432432;0.005714286;0.027210884;0.079545455
0.058823529;0.019354839;0.110294118;0.076635514;0.064102564
0.088235294;0.135869565;0.076923077;0.159744409;0.231578947
0.117647059;0.072847682;0.028169014;0.013605442;0.081395349
0.189189189;0.091428571;0.051020408;0.04;0.136363636
0.057692308;0.040767386;0.038251366;0.041516245;0.086419753
0.05;0.020833333;0.021715527;0.04;0.066666667
0.052631579;0.042826552;0.053050398;0.074626866;0.0875
0.076923077;0.038461538;0.039215686;0.042105263;0.112359551
0.08;0.047244094;0.073033708;0.054347826;0.159090909
0.16;0.050420168;0.033898305;0.056338028;0.186813187
0.058823529;0.017291066;0.045508982;0.034188034;0.05
0.15;0.14;0.044642857;0.084563758;0.203389831
0.02173913;0.031055901;0;0.010830325;0.0875
0.052631579;0.066225166;0.04137931;0.063432836;0.166666667
0;0.05982906;0.046296296;0.00913242;0.056179775
0.139534884;0.073333333;0.021978022;0.095238095;0.172413793
0.193548387;0.044444444;0.024154589;0.046153846;0.045977011
0.076923077;0.054263566;0.071823204;0.08361204;0.050420168
0.135135135;0.034482759;0.087719298;0.098765432;0.148148148
0.185185185;0.036363636;0.079365079;0.073825503;0.116883117
0.09375;0.038888889;0.020408163;0;0.1
0.057142857;0.030487805;0.007936508;0.023498695;0.131578947
0.185185185;0.030120482;0.006711409;0.105263158;0.178082192
0.083333333;0.031413613;0.033557047;0.057291667;0.057471264
0.242424242;0.121212121;0.040983607;0.062200957;0.186046512
0;0;0;0;0
0.064516129;0.067484663;0.007692308;0.055555556;0.090909091
0;0.014492754;0.018181818;0.027272727;0.012658228
0.03030303;0.033333333;0.021276596;0.072727273;0.070422535
0.016393443;0.031545741;0.017777778;0.047058824;0.0625
0.04;0.067961165;0.107142857;0.093655589;0.119047619
0.03125;0.034782609;0.032994924;0.142857143;0.141025641
0.192307692;0.061068702;0.037037037;0.142156863;0.144736842
0.133333333;0.086614173;0.021459227;0.053864169;0.1875
0.137931034;0.052631579;0.036231884;0.05;0.172413793
0.083333333;0.087912088;0.078125;0.083333333;0.114942529
0.137931034;0.125;0.028776978;0.022556391;0.026315789
0;0.017241379;0.008438819;0.028571429;0.013513514
0.081081081;0.052631579;0.010309278;0.048780488;0.094594595
0.157894737;0.063492063;0.030120482;0.066666667;0.082191781
0;0.005671078;0;0.00729927;0.015151515
0.066666667;0.009803922;0.016806723;0.002857143;0
0.136363636;0.030487805;0.01;0.074675325;0.126436782
0.083333333;0.044117647;0.006896552;0.080291971;0.02739726
0.086956522;0.013071895;0.014563107;0.00862069;0.053333333
0.054054054;0.028571429;0.0078125;0;0.060240964
0.210526316;0.055555556;0;0.04;0.075949367
0.071428571;0.0625;0.048780488;0.095890411;0.102564103
0.096774194;0.057324841;0.054054054;0.057377049;0.107692308
0.096774194;0.066666667;0.023474178;0.104166667;0.086419753
0;0.010752688;0;0.039274924;0.014285714
0.046511628;0.013513514;0.03164557;0.019067797;0.041666667
0.025;0.037656904;0.044117647;0.032608696;0.113924051
0.028169014;0.034782609;0.027972028;0.040697674;0.05
0.066666667;0.050632911;0.007246377;0.108843537;0.115942029
0.041666667;0.053846154;0.04;0.005208333;0.026315789
0.05;0.02962963;0.015873016;0.03960396;0.094594595
0.090909091;0.041666667;0.025;0.029411765;0.111111111
0.085106383;0.067226891;0.046511628;0.093333333;0.08974359
0.193548387;0.14;0.01910828;0.090909091;0.114285714
0.166666667;0.065843621;0.022988506;0.125;0.17721519
0.117647059;0.045801527;0.034965035;0.055335968;0.118421053
0.137931034;0.103896104;0.032520325;0.083916084;0.125
0.08;0.093023256;0.027272727;0.030100334;0.08
0.210526316;0.01744186;0;0.038043478;0.130952381
0.153846154;0.104761905;0.032786885;0.010309278;0.069444444
0;0;0;0;0.01369863
0.130434783;0.130081301;0.024154589;0.089700997;0.166666667
0.113636364;0.051546392;0.056818182;0.085972851;0.064935065
0.115384615;0.099099099;0.063241107;0.086142322;0.08
0.025;0.043478261;0.062780269;0.036144578;0.097222222
0.103448276;0.03030303;0.079207921;0.055555556;0.125
0.046511628;0.025114155;0.020527859;0.042134831;0.012820513
0.129032258;0.116504854;0.044444444;0.041666667;0.150684932
0.153846154;0.037735849;0.046783626;0.076642336;0.180555556
0.097560976;0.061068702;0.02970297;0.088607595;0.101449275
0.115384615;0.034482759;0.048951049;0.094594595;0.071428571
0.148148148;0.134328358;0.026490066;0.011111111;0.082191781
0.045454545;0.049180328;0;0.012244898;0.029850746
0.115384615;0.070093458;0.02962963;0.037037037;0.08
0.074074074;0.054237288;0.045454545;0.067183463;0.168831169
0.06;0.030769231;0.006944444;0.078740157;0.090909091
0.121212121;0.081632653;0.026086957;0.080906149;0.082191781
0.025641026;0.020242915;0.042735043;0.092741935;0.122807018
0.170212766;0.029126214;0;0.046948357;0.109589041
0.1;0.023809524;0;0;0.086956522
0.117647059;0.056074766;0;0.028037383;0.098591549
0.166666667;0.109375;0;0.035087719;0.121212121
0.09375;0.083969466;0;0.087912088;0.25
0.035714286;0.006993007;0.023255814;0.04950495;0.072463768
0.066666667;0.051495017;0.055793991;0.068965517;0.121621622
0.027027027;0.045045045;0.056818182;0.02173913;0
0.095238095;0.010869565;0.052;0.113924051;0.106666667
0.098039216;0.076923077;0.094736842;0.156862745;0.089552239
0.1;0.058823529;0.014814815;0.040160643;0.075757576
0.115384615;0.055555556;0;0.082524272;0.128571429
0.023809524;0.078125;0;0.051094891;0.088235294
0.178571429;0.08045977;0.040983607;0.034090909;0.164179104
0.193548387;0.065326633;0.019230769;0.064516129;0.096153846
0.225806452;0.075144509;0.053571429;0.096330275;0.164383562
0.12244898;0.067251462;0.059602649;0.038709677;0.153846154
0.025641026;0.066666667;0.03286385;0.058461538;0
0.043478261;0.030674847;0;0.041666667;0.14516129
0.078431373;0.079831933;0.04950495;0.063380282;0.203125
0.2;0.059210526;0.028037383;0.076923077;0.154929577
0.16;0.03125;0.108695652;0.103286385;0.215384615
0.054054054;0.034013605;0.024539877;0.060869565;0.088235294
0.068965517;0.058479532;0.072164948;0.016666667;0.102941176
0;0.042780749;0;0.048780488;0
0.153846154;0.074074074;0.050420168;0.12565445;0.230769231
0.125;0.037974684;0.007575758;0.052631579;0.134328358
